observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
966,28.347019196428569,154417465451,1,9.08640120178461,9.534,9.183744,1.9197,76313,0,4.014336,0.52992,,0.122112,0.35148799999999997,0,0.329472,0.007424,0.082431999999999991,,0.002304,0,1.104128,966,431,0,
967,28.35672019557823,154417560791,1,9.7009995952248573,9.3189,9.073664,2.0263,14419,0,3.720704,0.530944,,0.12185599999999999,0.344576,0,0.323584,0.007424,0.082431999999999991,,0.004096,0,0.83327999999999991,967,432,0,
968,28.366484495464853,154417653980,1,9.7642997279763222,9.1416,9.686784,2.3411,14621,0,4.115968,0.529664,,0.120832,0.35148799999999997,0,0.331264,0.007168,0.08524799999999999,,0.003584,0,1.082624,968,433,0,
969,28.375759998582765,154417745396,1,9.27550345659256,9.1736,9.746944,2.1175,14419,0,4.125952,0.526592,,0.121344,0.351744,0,0.329984,0.003328,0.08524799999999999,,0.002816,0,1.07904,969,434,0,
970,28.384806299603174,154417837132,1,9.0463012456893921,9.8502,9.204736,2.119,49561,0,4.097536,0.522496,,0.12185599999999999,0.35737599999999997,0,0.336128,0.009984,0.09036799999999999,,0.0038399999999999997,0,0.82508799999999993,970,435,0,
971,28.394010799319727,154417935634,1,9.2044994235038757,9.4966,9.086976,2.0086,79709,0,3.543552,0.527104,,0.12032,0.34431999999999996,0,0.32255999999999996,0.007424,0.081664,,0.004096,0,1.025024,971,436,0,
972,28.403442594954647,154418030600,1,9.4317952170968056,9.5965,9.181952,2.1491,44567,0,4.182272,0.523008,,0.121088,0.35609599999999997,0,0.336128,0.006912,0.09036799999999999,,0.002048,0,1.0048,972,437,0,
973,28.412965695861676,154418126565,1,9.5231011509895325,8.9773,9.406976,2.3454,14419,0,3.813376,0.52223999999999993,,0.121088,0.523264,0.000256,0.50176,0.007168,0.08806399999999999,,0.003072,0,0.827136,973,438,0,
974,28.422535693027211,154418216338,1,9.56999696791172,9.6951,9.503488,1.9767,14419,0,3.910144,0.52608,,0.121344,0.60083199999999992,0.000256,0.328704,0.008704,0.087039999999999992,,0.002816,0,1.003776,974,439,0,
975,28.43170649801587,154418313289,1,9.1708051040768623,8.8105,9.556224,2.1723,14419,0,3.835136,0.523776,,0.1216,0.58163199999999993,0,0.33152,0.008704,0.087039999999999992,,0.0038399999999999997,0,0.827136,975,440,0,
