metric,2048_median,4096_median,ratio
VSM.Resolve (ms),10.4417,19.881149999999998,1.9040146719403925
VSM.ResolveTrace (ms),10.17325,19.61305,1.927904062123707
VSM.Allocate (ms),0.33999900000000005,0.7211350000000001,2.1209915323280364
VSM.FilterHorizontal (ms),0.082319,0.081263,0.9871718558291525
VSM.FilterTemporalVertical (ms),0.187104,0.18656,0.9970925260817514
dram_throughput_pct,5.88081,56.4038,9.5911617617301
l2_throughput_pct,15.1475,27.398600000000002,1.808786928536062
l1tex_throughput_pct,9.884985,9.69488,0.9807683066792715
sm_throughput_pct,45.206500000000005,27.675,0.6121907247851526
l1_hit_pct,69.65305000000001,54.605599999999995,0.7839656698450389
l1_texture_load_hit_pct,68.29255,53.390600000000006,0.7817924502745908
l2_hit_pct,87.27745,42.0473,0.48176590860525825
l2_tex_hit_pct,94.5033,98.29065,1.0400763782852027
compute_occupancy_pct,39.63065,46.088449999999995,1.1629496362032918
pred_on_threads_per_inst,18.38865,18.08715,0.9836040166080708
threads_per_inst,19.84135,19.56535,0.986089656197789
clock_export,2293.4750000000004,2293.4700000000003,0.9999978199021136
dram_traffic_export,517227500.0,9718690000.0,18.789971530902747
l1_traffic_export,12126650000.0,21411200000.0,1.7656318933918271
stall_share_long_scoreboard_pipe_l1tex,47.975264763079835,74.3301684452785,1.5493435797040254
stall_share_wait,21.901512711242056,11.643590342616445,0.5316340700357097
stall_share_short_scoreboard,7.402927696530906,3.940663770784015,0.5323115302923537
stall_share_branch_resolving,2.3793313442336808,1.2148531190670768,0.5105859349986198
stall_share_not_selected,7.130356460267032,2.2776049767084703,0.3194237187720029
stall_share_selected,9.617545949523702,5.134537987917661,0.5338719476741303
