observation,marker,gpu_ns,gpu_sample_count
6,VSM.PageOccupancy,61440,1
6,VSM.FinalizePages,1792,1
6,VSM.DynamicRaster,12800,1
6,VSM.LayoutRemap,2304,1
6,VSM.InvalidateStatic,2560,1
6,VSM.StaticCasterCull,134144,1
6,VSM.DynamicCasterCull,0,1
6,VSM.PageCull,114944,1
6,VSM.StaticRasterClear,256,1
6,VSM.StaticRasterDraw,4709632,1
6,VSM.DynamicRasterClear,12800,1
6,VSM.DynamicRasterDraw,0,1
6,VSM.StaticRaster,4709888,1
6,VSM.UnityCompatibilityRaster,0,0
6,VSM.Resolve,4510720,1
6,VSM.ResolveTrace,4368128,1
6,VSM.FilterHorizontal,68096,1
6,VSM.FilterVertical,0,0
6,VSM.FilterTemporalVertical,73728,1
6,VSM.ResetFeedback,2048,1
7,VSM.MarkReceiverPages,539136,1
7,VSM.Allocate,2113536,1
7,VSM.ClearPhysicalPages,267520,1
7,VSM.PageOccupancy,68352,1
7,VSM.FinalizePages,2560,1
7,VSM.DynamicRaster,11520,1
7,VSM.LayoutRemap,2304,1
7,VSM.InvalidateStatic,1792,1
7,VSM.StaticCasterCull,480256,1
7,VSM.DynamicCasterCull,0,1
7,VSM.PageCull,105216,1
7,VSM.StaticRasterClear,256,1
7,VSM.StaticRasterDraw,4745216,1
7,VSM.DynamicRasterClear,11520,1
7,VSM.DynamicRasterDraw,0,1
7,VSM.StaticRaster,4746240,1
7,VSM.UnityCompatibilityRaster,0,0
7,VSM.Resolve,4835328,1
7,VSM.ResolveTrace,4696576,1
7,VSM.FilterHorizontal,64768,1
7,VSM.FilterVertical,0,0
7,VSM.FilterTemporalVertical,72960,1
7,VSM.ResetFeedback,2048,1
8,VSM.MarkReceiverPages,838656,1
8,VSM.Allocate,2107904,1
8,VSM.ClearPhysicalPages,267008,1
8,VSM.PageOccupancy,61184,1
8,VSM.FinalizePages,2816,1
8,VSM.DynamicRaster,13312,1
8,VSM.LayoutRemap,2304,1
8,VSM.InvalidateStatic,2304,1
8,VSM.StaticCasterCull,131072,1
8,VSM.DynamicCasterCull,0,1
8,VSM.PageCull,111360,1
8,VSM.StaticRasterClear,0,1
8,VSM.StaticRasterDraw,4601344,1
8,VSM.DynamicRasterClear,13312,1
8,VSM.DynamicRasterDraw,0,1
8,VSM.StaticRaster,4601600,1
8,VSM.UnityCompatibilityRaster,0,0
8,VSM.Resolve,4998400,1
8,VSM.ResolveTrace,4859648,1
8,VSM.FilterHorizontal,65536,1
8,VSM.FilterVertical,0,0
8,VSM.FilterTemporalVertical,72192,1
8,VSM.ResetFeedback,2304,1
9,VSM.MarkReceiverPages,883968,1
9,VSM.Allocate,2120704,1
9,VSM.ClearPhysicalPages,266752,1
9,VSM.PageOccupancy,61952,1
9,VSM.FinalizePages,2304,1
9,VSM.DynamicRaster,12800,1
