observation,marker,gpu_ns,gpu_sample_count
0,VSM.MarkReceiverPages,630784,1
0,VSM.Allocate,567808,1
0,VSM.ClearPhysicalPages,20352768,1
0,VSM.PageOccupancy,1596672,1
0,VSM.FinalizePages,2560,1
0,VSM.DynamicRaster,84224,1
0,VSM.LayoutRemap,0,1
0,VSM.InvalidateStatic,0,0
0,VSM.StaticCasterCull,532992,1
0,VSM.DynamicCasterCull,0,1
0,VSM.PageCull,185856,1
0,VSM.StaticRasterClear,256,1
0,VSM.StaticRasterDraw,9216,1
0,VSM.DynamicRasterClear,84224,1
0,VSM.DynamicRasterDraw,0,1
0,VSM.StaticRaster,9728,1
0,VSM.UnityCompatibilityRaster,0,0
0,VSM.Resolve,6569472,1
0,VSM.ResolveTrace,6342912,1
0,VSM.FilterHorizontal,67072,1
0,VSM.FilterVertical,0,0
0,VSM.FilterTemporalVertical,158464,1
0,VSM.ResetFeedback,0,1
1,VSM.MarkReceiverPages,629760,1
1,VSM.Allocate,570624,1
1,VSM.ClearPhysicalPages,19625472,1
1,VSM.PageOccupancy,1785088,1
1,VSM.FinalizePages,2048,1
1,VSM.DynamicRaster,90112,1
1,VSM.LayoutRemap,0,1
1,VSM.InvalidateStatic,0,0
1,VSM.StaticCasterCull,588032,1
1,VSM.DynamicCasterCull,0,1
1,VSM.PageCull,177152,1
1,VSM.StaticRasterClear,512,1
1,VSM.StaticRasterDraw,8960,1
1,VSM.DynamicRasterClear,90112,1
1,VSM.DynamicRasterDraw,0,1
1,VSM.StaticRaster,12288,1
1,VSM.UnityCompatibilityRaster,0,0
1,VSM.Resolve,6550016,1
1,VSM.ResolveTrace,6327040,1
1,VSM.FilterHorizontal,64768,1
1,VSM.FilterVertical,0,0
1,VSM.FilterTemporalVertical,157440,1
1,VSM.ResetFeedback,0,1
2,VSM.MarkReceiverPages,631296,1
2,VSM.Allocate,567552,1
2,VSM.ClearPhysicalPages,21164032,1
2,VSM.PageOccupancy,1720576,1
2,VSM.FinalizePages,2816,1
2,VSM.DynamicRaster,92160,1
2,VSM.LayoutRemap,0,1
2,VSM.InvalidateStatic,0,0
2,VSM.StaticCasterCull,209152,1
2,VSM.DynamicCasterCull,0,1
2,VSM.PageCull,188416,1
2,VSM.StaticRasterClear,256,1
2,VSM.StaticRasterDraw,7168,1
2,VSM.DynamicRasterClear,92160,1
2,VSM.DynamicRasterDraw,0,1
2,VSM.StaticRaster,7424,1
2,VSM.UnityCompatibilityRaster,0,0
