observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
1000,42.741684800170063,172943649575,1,17.777401953935623,19.176,0.018432,0.2021,20517,0,8.571392,0.541696,,0.12032,0.3584,0,0.34022399999999997,0.007168,0.082431999999999991,,0.004352,0,2.8723199999999998,1000,227,0,
1001,42.759814994331066,172943841335,1,18.130194395780563,15.9226,0.015616,0.2109,20517,0,7.8768639999999994,0.54143999999999992,,0.12057599999999999,0.53734399999999993,0.000256,0.51814399999999994,0.0038399999999999997,0.081919999999999993,,0.0038399999999999997,0,2.854144,1001,228,0,
1002,42.777625694444446,172944000561,1,17.810700461268425,18.1383,0.016896,0.2274,20916,0,8.298752,0.527872,,0.122112,0.365824,0,0.346112,0.006912,0.08524799999999999,,0.0048639999999999994,0,2.5303039999999997,1002,229,0,
1003,42.796028394274373,172944181944,1,18.402699381113052,17.5677,0.016896,0.1626,20517,0,7.8269439999999992,0.777984,,0.122624,0.366848,0.000256,0.347904,0.007168,0.087039999999999992,,0.004608,0,2.5303039999999997,1003,230,0,
1004,42.81484059665533,172944357621,1,18.812201917171478,17.8563,0.017664,0.2466,20637,0,7.904768,0.527616,,0.121088,0.365568,0,0.346624,0.007424,0.091648,,0.004352,0,3.0906879999999997,1004,231,0,
1005,42.83418049886621,172944536184,1,19.339902326464653,18.2946,0.016128,0.1832,20517,0,8.523776,0.5376,,0.128512,0.36607999999999996,0,0.346624,0.0097279999999999988,0.085504,,0.004096,0,2.8904959999999997,1005,232,0,
1006,42.852280895691607,172944719130,1,18.100397661328316,18.1251,0.01792,0.2378,20517,0,8.850432,0.549632,,0.13055999999999998,0.368384,0,0.348416,0.0051199999999999996,0.089855999999999991,,0.004608,0,2.911488,1006,233,0,
1007,42.870440695861674,172944900381,1,18.15979927778244,19.9121,0.01536,0.2103,20719,0,8.0192,0.544256,,0.12236799999999999,0.36479999999999996,0,0.34559999999999996,0.010239999999999999,0.082431999999999991,,0.004608,0,2.977792,1007,234,0,
1008,42.887971499433107,172945099502,1,17.530804499983788,19.0128,0.017152,0.259,20517,0,7.924224,0.52889599999999992,,0.12236799999999999,0.36147199999999996,0,0.34227199999999997,0.007168,0.082176,,0.004096,0,2.8815359999999997,1008,235,0,
1009,42.906049298469384,172945289630,1,18.077798187732697,19.2006,0.016128,0.1734,20517,0,7.750144,0.52735999999999994,,0.122624,0.36275199999999996,0,0.343808,0.007168,0.089855999999999991,,0.0048639999999999994,0,2.7630079999999997,1009,236,0,
1010,42.923776899092971,172945481636,1,17.727600410580635,17.5431,0.019968,0.1699,20517,0,8.05504,0.530176,,0.12339199999999999,0.362496,0,0.34355199999999997,0.007424,0.081664,,0.004352,0,2.7532799999999997,1010,237,0,
1011,42.942569600340136,172945657067,1,18.792701885104179,16.3266,0.017664,0.1695,81644,0,7.795712,0.521728,,0.122112,0.370176,0.000256,0.35148799999999997,0.003072,0.084992,,0.0051199999999999996,0,2.8065279999999997,1011,238,0,
