observation,camera_frame_observed,marker,gpu_ns,gpu_sample_count
0,5314,VSM.MarkReceiverPages,601600,1
0,5314,VSM.Allocate,525568,1
0,5314,VSM.ClearPhysicalPages,90368,1
0,5314,VSM.PageOccupancy,59904,1
0,5314,VSM.FinalizePages,2048,1
0,5314,VSM.DynamicRaster,11776,1
0,5314,VSM.LayoutRemap,0,1
0,5314,VSM.InvalidateStatic,0,0
0,5314,VSM.StaticCasterCull,113920,1
0,5314,VSM.DynamicCasterCull,0,1
0,5314,VSM.PageCull,95232,1
0,5314,VSM.StaticRaster,3072,1
0,5314,VSM.UnityCompatibilityRaster,0,0
0,5314,VSM.Resolve,5657856,1
0,5314,VSM.ResolveTrace,5437184,1
0,5314,VSM.FilterHorizontal,63744,1
0,5314,VSM.FilterVertical,0,0
0,5314,VSM.FilterTemporalVertical,155904,1
0,5314,VSM.ResetFeedback,0,1
1,5315,VSM.MarkReceiverPages,601600,1
1,5315,VSM.Allocate,524544,1
1,5315,VSM.ClearPhysicalPages,89088,1
1,5315,VSM.PageOccupancy,62720,1
1,5315,VSM.FinalizePages,1792,1
1,5315,VSM.DynamicRaster,10752,1
1,5315,VSM.LayoutRemap,0,1
1,5315,VSM.InvalidateStatic,0,0
1,5315,VSM.StaticCasterCull,116224,1
1,5315,VSM.DynamicCasterCull,0,1
1,5315,VSM.PageCull,97280,1
1,5315,VSM.StaticRaster,3328,1
1,5315,VSM.UnityCompatibilityRaster,0,0
1,5315,VSM.Resolve,6264576,1
1,5315,VSM.ResolveTrace,6040576,1
1,5315,VSM.FilterHorizontal,65792,1
1,5315,VSM.FilterVertical,0,0
1,5315,VSM.FilterTemporalVertical,156928,1
1,5315,VSM.ResetFeedback,0,1
2,5316,VSM.MarkReceiverPages,602880,1
2,5316,VSM.Allocate,528640,1
2,5316,VSM.ClearPhysicalPages,90112,1
2,5316,VSM.PageOccupancy,60672,1
2,5316,VSM.FinalizePages,2304,1
2,5316,VSM.DynamicRaster,10752,1
2,5316,VSM.LayoutRemap,0,1
2,5316,VSM.InvalidateStatic,0,0
2,5316,VSM.StaticCasterCull,112128,1
2,5316,VSM.DynamicCasterCull,0,1
2,5316,VSM.PageCull,93184,1
2,5316,VSM.StaticRaster,9728,1
2,5316,VSM.UnityCompatibilityRaster,0,0
2,5316,VSM.Resolve,6302976,1
2,5316,VSM.ResolveTrace,6076416,1
2,5316,VSM.FilterHorizontal,66816,1
2,5316,VSM.FilterVertical,0,0
2,5316,VSM.FilterTemporalVertical,158464,1
2,5316,VSM.ResetFeedback,0,1
3,5317,VSM.MarkReceiverPages,604672,1
3,5317,VSM.Allocate,528128,1
3,5317,VSM.ClearPhysicalPages,91392,1
3,5317,VSM.PageOccupancy,61952,1
3,5317,VSM.FinalizePages,2304,1
3,5317,VSM.DynamicRaster,11776,1
3,5317,VSM.LayoutRemap,0,1
3,5317,VSM.InvalidateStatic,0,0
3,5317,VSM.StaticCasterCull,114176,1
3,5317,VSM.DynamicCasterCull,0,1
3,5317,VSM.PageCull,94976,1
3,5317,VSM.StaticRaster,3072,1
3,5317,VSM.UnityCompatibilityRaster,0,0
3,5317,VSM.Resolve,6372096,1
3,5317,VSM.ResolveTrace,6147328,1
3,5317,VSM.FilterHorizontal,66560,1
3,5317,VSM.FilterVertical,0,0
3,5317,VSM.FilterTemporalVertical,157184,1
3,5317,VSM.ResetFeedback,0,1
4,5318,VSM.MarkReceiverPages,602880,1
4,5318,VSM.Allocate,529152,1
4,5318,VSM.ClearPhysicalPages,383488,1
4,5318,VSM.PageOccupancy,58368,1
4,5318,VSM.FinalizePages,2560,1
4,5318,VSM.DynamicRaster,12288,1
4,5318,VSM.LayoutRemap,0,1
4,5318,VSM.InvalidateStatic,0,0
4,5318,VSM.StaticCasterCull,110080,1
4,5318,VSM.DynamicCasterCull,0,1
4,5318,VSM.PageCull,86528,1
4,5318,VSM.StaticRaster,7168,1
4,5318,VSM.UnityCompatibilityRaster,0,0
4,5318,VSM.Resolve,6437376,1
4,5318,VSM.ResolveTrace,6213120,1
4,5318,VSM.FilterHorizontal,65792,1
4,5318,VSM.FilterVertical,0,0
4,5318,VSM.FilterTemporalVertical,157184,1
4,5318,VSM.ResetFeedback,0,1
5,5319,VSM.MarkReceiverPages,603648,1
5,5319,VSM.Allocate,531712,1
5,5319,VSM.ClearPhysicalPages,89600,1
5,5319,VSM.PageOccupancy,59904,1
5,5319,VSM.FinalizePages,2048,1
5,5319,VSM.DynamicRaster,11008,1
5,5319,VSM.LayoutRemap,0,1
5,5319,VSM.InvalidateStatic,0,0
5,5319,VSM.StaticCasterCull,109824,1
5,5319,VSM.DynamicCasterCull,0,1
5,5319,VSM.PageCull,90880,1
5,5319,VSM.StaticRaster,7168,1
5,5319,VSM.UnityCompatibilityRaster,0,0
5,5319,VSM.Resolve,5974784,1
5,5319,VSM.ResolveTrace,5560576,1
5,5319,VSM.FilterHorizontal,64768,1
5,5319,VSM.FilterVertical,0,0
5,5319,VSM.FilterTemporalVertical,348416,1
5,5319,VSM.ResetFeedback,0,1
6,5320,VSM.MarkReceiverPages,605184,1
6,5320,VSM.Allocate,528640,1
6,5320,VSM.ClearPhysicalPages,90368,1
6,5320,VSM.PageOccupancy,65280,1
6,5320,VSM.FinalizePages,2048,1
6,5320,VSM.DynamicRaster,11008,1
6,5320,VSM.LayoutRemap,0,1
6,5320,VSM.InvalidateStatic,0,0
6,5320,VSM.StaticCasterCull,113920,1
6,5320,VSM.DynamicCasterCull,0,1
6,5320,VSM.PageCull,94720,1
6,5320,VSM.StaticRaster,7168,1
6,5320,VSM.UnityCompatibilityRaster,0,0
6,5320,VSM.Resolve,6412800,1
6,5320,VSM.ResolveTrace,6186496,1
6,5320,VSM.FilterHorizontal,67072,1
6,5320,VSM.FilterVertical,0,0
6,5320,VSM.FilterTemporalVertical,157952,1
6,5320,VSM.ResetFeedback,0,1
7,5321,VSM.MarkReceiverPages,604160,1
7,5321,VSM.Allocate,528384,1
7,5321,VSM.ClearPhysicalPages,89856,1
7,5321,VSM.PageOccupancy,58624,1
7,5321,VSM.FinalizePages,2048,1
7,5321,VSM.DynamicRaster,11008,1
7,5321,VSM.LayoutRemap,0,1
7,5321,VSM.InvalidateStatic,0,0
7,5321,VSM.StaticCasterCull,111616,1
7,5321,VSM.DynamicCasterCull,0,1
7,5321,VSM.PageCull,92416,1
7,5321,VSM.StaticRaster,6912,1
7,5321,VSM.UnityCompatibilityRaster,0,0
7,5321,VSM.Resolve,6340096,1
7,5321,VSM.ResolveTrace,6115840,1
7,5321,VSM.FilterHorizontal,66048,1
7,5321,VSM.FilterVertical,0,0
7,5321,VSM.FilterTemporalVertical,156928,1
7,5321,VSM.ResetFeedback,0,1
8,5322,VSM.MarkReceiverPages,603136,1
8,5322,VSM.Allocate,530432,1
8,5322,VSM.ClearPhysicalPages,89856,1
8,5322,VSM.PageOccupancy,58880,1
