revision,case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
mark-wave-cull64-repeat_20260912_022245_614,0,length10_a,completed_with_warnings,VSM.Resolve_gpu_ms,199,199,1.9563519999999999,2.695168,1.6256,3.503872
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,frame_interval_ms,244,244,17.138549126684666,19.908100366592407,9.0723996981978416,23.721102625131607
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,cpu_frame_ms,244,244,16.9635,20.5591,8.4049,25.2647
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,gpu_frame_ms,244,244,17.032704000000003,19.625472,9.060608,23.693056
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,cpu_render_thread_ms,244,244,3.0136000000000003,4.6313,2.2373,9.8486
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,gc_allocated_in_editor_frame_bytes,244,244,18307,36208,15843,71020
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,VSM.LayoutRemap_gpu_ms,244,244,0,0,0,0.000256
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,VSM.MarkReceiverPages_gpu_ms,244,244,0.937472,5.70496,0.91955199999999992,6.584064
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,VSM.Allocate_gpu_ms,244,244,0.533504,0.557312,0.52556799999999992,0.64691199999999993
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,VSM.InvalidateStatic_gpu_ms,244,0,,,,
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,VSM.ClearPhysicalPages_gpu_ms,244,244,0.132224,2.292736,0.128512,5.591552
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,VSM.StaticCasterCull_gpu_ms,244,244,0.20416,2.364672,0.191488,5.665792
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,VSM.DynamicCasterCull_gpu_ms,244,244,0,0.000256,0,0.006144
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,VSM.PageCull_gpu_ms,244,244,0.178176,0.203008,0.132608,5.4469119999999993
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,VSM.StaticRaster_gpu_ms,244,244,0.007424,0.01792,0.003072,0.10419199999999999
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,VSM.DynamicRaster_gpu_ms,244,244,0.088832,0.097024,0.077311999999999992,5.6353279999999994
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,VSM.UnityCompatibilityRaster_gpu_ms,244,0,,,,
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,VSM.FinalizePages_gpu_ms,244,244,0.003584,0.004352,0.002304,0.26905599999999996
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,VSM.ResetFeedback_gpu_ms,244,244,0,0,0,0.000256
mark-wave-cull64-repeat_20260912_022245_614,0,length10_b,completed_with_warnings,VSM.Resolve_gpu_ms,244,244,2.747776,7.145728,1.64224,10.110719999999999
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,frame_interval_ms,330,330,11.489799711853266,14.220195822417736,4.3771965429186821,67.293897271156311
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,cpu_frame_ms,330,330,11.52375,14.2727,3.8463,67.2067
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,gpu_frame_ms,330,327,11.458304,13.962752,0.007424,15.780864
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,cpu_render_thread_ms,330,330,2.2748999999999997,3.7477,0.1426,42.2022
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,gc_allocated_in_editor_frame_bytes,330,330,18307,36353,15843,144154
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,VSM.LayoutRemap_gpu_ms,330,330,0,0,0,0.000256
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,VSM.MarkReceiverPages_gpu_ms,330,330,0.99327999999999994,1.42208,0.889088,3.069952
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,VSM.Allocate_gpu_ms,330,330,0.532992,0.63744,0.517888,1.20448
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,VSM.InvalidateStatic_gpu_ms,330,0,,,,
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,VSM.ClearPhysicalPages_gpu_ms,330,330,0.130304,0.32716799999999996,0.11903999999999999,1.853184
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,VSM.StaticCasterCull_gpu_ms,330,330,0.198784,0.47948799999999997,0.188416,0.958208
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,VSM.DynamicCasterCull_gpu_ms,330,330,0,0.000256,0,0.0048639999999999994
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,VSM.PageCull_gpu_ms,330,330,0.176896,0.184576,0.135936,0.34944
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,VSM.StaticRaster_gpu_ms,330,330,0.007424,0.012032,0.003328,0.371712
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,VSM.DynamicRaster_gpu_ms,330,330,0.088832,0.09548799999999999,0.000256,0.4416
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,VSM.UnityCompatibilityRaster_gpu_ms,330,0,,,,
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,VSM.FinalizePages_gpu_ms,330,330,0.003328,0.004352,0.002048,0.10009599999999999
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,VSM.ResetFeedback_gpu_ms,330,330,0,0,0,0
mark-wave-cull64-repeat_20260912_022245_614,0,length50_a,completed_with_warnings,VSM.Resolve_gpu_ms,330,330,2.93952,3.552768,2.55104,5.9630079999999994
mark-wave-cull64-repeat_20260912_022245_614,0,length50_b,completed_with_warnings,frame_interval_ms,404,404,9.8883006721735,10.574801824986935,9.02239978313446,13.040894642472267
mark-wave-cull64-repeat_20260912_022245_614,0,length50_b,completed_with_warnings,cpu_frame_ms,404,404,9.85075,11.0448,8.1416,17.0895
mark-wave-cull64-repeat_20260912_022245_614,0,length50_b,completed_with_warnings,gpu_frame_ms,404,404,9.872128,10.443264,9.003264,12.20608
mark-wave-cull64-repeat_20260912_022245_614,0,length50_b,completed_with_warnings,cpu_render_thread_ms,404,404,2.36545,2.9778,1.9073,4.9682
