distance,x,visibility,analytic,error
0.1,3.8,1,1,0
0.1,4.2,0,0,0
0.5,3.8,0.9857178,0.9857584,4.059076E-05
0.5,4.2,0.01208496,0.01424198,0.002157021
1.5,3.8,0.6900635,0.6914641,0.00140065
1.5,4.2,0.3078613,0.3085361,0.000674814
5,3.8,0.6429443,0.6446141,0.001669765
5,4.2,0.3551636,0.3553861,0.0002225041
