observation,marker,gpu_ns,gpu_sample_count
0,VSM.MarkReceiverPages,875008,1
0,VSM.Allocate,2122752,1
0,VSM.ClearPhysicalPages,268288,1
0,VSM.PageOccupancy,57600,1
0,VSM.FinalizePages,1792,1
0,VSM.DynamicRaster,87808,1
0,VSM.LayoutRemap,2048,1
0,VSM.InvalidateStatic,1792,1
0,VSM.StaticCasterCull,123392,1
0,VSM.DynamicCasterCull,0,1
0,VSM.PageCull,104960,1
0,VSM.StaticRasterClear,0,1
0,VSM.StaticRasterDraw,7837440,1
0,VSM.DynamicRasterClear,87808,1
0,VSM.DynamicRasterDraw,0,1
0,VSM.StaticRaster,7837696,1
0,VSM.UnityCompatibilityRaster,0,0
0,VSM.Resolve,4009984,1
0,VSM.ResolveTrace,3877376,1
0,VSM.FilterHorizontal,61952,1
0,VSM.FilterVertical,0,0
0,VSM.FilterTemporalVertical,70656,1
0,VSM.ResetFeedback,1792,1
1,VSM.MarkReceiverPages,569088,1
1,VSM.Allocate,2127104,1
1,VSM.ClearPhysicalPages,268288,1
1,VSM.PageOccupancy,53760,1
1,VSM.FinalizePages,2048,1
1,VSM.DynamicRaster,85504,1
1,VSM.LayoutRemap,2304,1
1,VSM.InvalidateStatic,2048,1
1,VSM.StaticCasterCull,119040,1
1,VSM.DynamicCasterCull,0,1
1,VSM.PageCull,100352,1
1,VSM.StaticRasterClear,256,1
1,VSM.StaticRasterDraw,8208128,1
1,VSM.DynamicRasterClear,85504,1
1,VSM.DynamicRasterDraw,0,1
1,VSM.StaticRaster,8208384,1
1,VSM.UnityCompatibilityRaster,0,0
1,VSM.Resolve,3995392,1
1,VSM.ResolveTrace,3863040,1
1,VSM.FilterHorizontal,61952,1
1,VSM.FilterVertical,0,0
1,VSM.FilterTemporalVertical,70144,1
1,VSM.ResetFeedback,1792,1
2,VSM.MarkReceiverPages,568576,1
2,VSM.Allocate,2127104,1
2,VSM.ClearPhysicalPages,268288,1
2,VSM.PageOccupancy,59392,1
2,VSM.FinalizePages,1792,1
2,VSM.DynamicRaster,12544,1
2,VSM.LayoutRemap,2048,1
2,VSM.InvalidateStatic,2304,1
2,VSM.StaticCasterCull,124672,1
2,VSM.DynamicCasterCull,0,1
2,VSM.PageCull,105984,1
2,VSM.StaticRasterClear,0,1
2,VSM.StaticRasterDraw,7931904,1
2,VSM.DynamicRasterClear,12544,1
2,VSM.DynamicRasterDraw,0,1
2,VSM.StaticRaster,7932160,1
2,VSM.UnityCompatibilityRaster,0,0
2,VSM.Resolve,4005888,1
2,VSM.ResolveTrace,3874816,1
2,VSM.FilterHorizontal,61696,1
2,VSM.FilterVertical,0,0
2,VSM.FilterTemporalVertical,69376,1
2,VSM.ResetFeedback,2048,1
3,VSM.MarkReceiverPages,564480,1
3,VSM.Allocate,2098688,1
3,VSM.ClearPhysicalPages,267520,1
3,VSM.PageOccupancy,59136,1
3,VSM.FinalizePages,2048,1
3,VSM.DynamicRaster,11776,1
