observation,marker,gpu_ns,gpu_sample_count
0,VSM.MarkReceiverPages,728576,1
0,VSM.Allocate,11403264,1
0,VSM.ClearPhysicalPages,474112,1
0,VSM.PageOccupancy,62208,1
0,VSM.FinalizePages,2048,1
0,VSM.DynamicRaster,87296,1
0,VSM.LayoutRemap,2304,1
0,VSM.InvalidateStatic,1792,1
0,VSM.StaticCasterCull,175616,1
0,VSM.DynamicCasterCull,0,1
0,VSM.PageCull,155904,1
0,VSM.StaticRasterClear,0,1
0,VSM.StaticRasterDraw,25671680,1
0,VSM.DynamicRasterClear,87296,1
0,VSM.DynamicRasterDraw,0,1
0,VSM.StaticRaster,25671680,1
0,VSM.UnityCompatibilityRaster,0,0
0,VSM.Resolve,4282112,1
0,VSM.ResolveTrace,4143360,1
0,VSM.FilterHorizontal,64768,1
0,VSM.FilterVertical,0,0
0,VSM.FilterTemporalVertical,72448,1
0,VSM.ResetFeedback,2048,1
1,VSM.MarkReceiverPages,958464,1
1,VSM.Allocate,11300608,1
1,VSM.ClearPhysicalPages,472320,1
1,VSM.PageOccupancy,61696,1
1,VSM.FinalizePages,2048,1
1,VSM.DynamicRaster,64512,1
1,VSM.LayoutRemap,2560,1
1,VSM.InvalidateStatic,2560,1
1,VSM.StaticCasterCull,177664,1
1,VSM.DynamicCasterCull,0,1
1,VSM.PageCull,158208,1
1,VSM.StaticRasterClear,0,1
1,VSM.StaticRasterDraw,26871040,1
1,VSM.DynamicRasterClear,64512,1
1,VSM.DynamicRasterDraw,0,1
1,VSM.StaticRaster,26872576,1
1,VSM.UnityCompatibilityRaster,0,0
1,VSM.Resolve,3424768,1
1,VSM.ResolveTrace,3285760,1
1,VSM.FilterHorizontal,65536,1
1,VSM.FilterVertical,0,0
1,VSM.FilterTemporalVertical,72192,1
1,VSM.ResetFeedback,2048,1
2,VSM.MarkReceiverPages,1098752,1
2,VSM.Allocate,11358208,1
2,VSM.ClearPhysicalPages,472576,1
2,VSM.PageOccupancy,63232,1
2,VSM.FinalizePages,2304,1
2,VSM.DynamicRaster,63488,1
2,VSM.LayoutRemap,2048,1
2,VSM.InvalidateStatic,2816,1
2,VSM.StaticCasterCull,173056,1
2,VSM.DynamicCasterCull,0,1
2,VSM.PageCull,153344,1
2,VSM.StaticRasterClear,0,1
2,VSM.StaticRasterDraw,25564160,1
2,VSM.DynamicRasterClear,63488,1
2,VSM.DynamicRasterDraw,0,1
2,VSM.StaticRaster,25564160,1
2,VSM.UnityCompatibilityRaster,0,0
2,VSM.Resolve,5120256,1
2,VSM.ResolveTrace,4443904,1
2,VSM.FilterHorizontal,600576,1
2,VSM.FilterVertical,0,0
2,VSM.FilterTemporalVertical,74496,1
2,VSM.ResetFeedback,2048,1
3,VSM.MarkReceiverPages,1338368,1
3,VSM.Allocate,11298048,1
3,VSM.ClearPhysicalPages,473856,1
3,VSM.PageOccupancy,66304,1
3,VSM.FinalizePages,2048,1
3,VSM.DynamicRaster,88832,1
3,VSM.LayoutRemap,2304,1
3,VSM.InvalidateStatic,3072,1
3,VSM.StaticCasterCull,184320,1
3,VSM.DynamicCasterCull,0,1
3,VSM.PageCull,164864,1
3,VSM.StaticRasterClear,0,1
3,VSM.StaticRasterDraw,26373120,1
3,VSM.DynamicRasterClear,88832,1
3,VSM.DynamicRasterDraw,0,1
3,VSM.StaticRaster,26373120,1
3,VSM.UnityCompatibilityRaster,0,0
3,VSM.Resolve,3407360,1
3,VSM.ResolveTrace,3269888,1
3,VSM.FilterHorizontal,64000,1
3,VSM.FilterVertical,0,0
3,VSM.FilterTemporalVertical,72448,1
3,VSM.ResetFeedback,1792,1
4,VSM.MarkReceiverPages,724224,1
4,VSM.Allocate,11224832,1
4,VSM.ClearPhysicalPages,470528,1
4,VSM.PageOccupancy,76544,1
4,VSM.FinalizePages,2048,1
4,VSM.DynamicRaster,26112,1
4,VSM.LayoutRemap,2304,1
4,VSM.InvalidateStatic,2304,1
4,VSM.StaticCasterCull,173056,1
4,VSM.DynamicCasterCull,0,1
4,VSM.PageCull,153344,1
4,VSM.StaticRasterClear,256,1
4,VSM.StaticRasterDraw,25371904,1
4,VSM.DynamicRasterClear,26112,1
4,VSM.DynamicRasterDraw,0,1
4,VSM.StaticRaster,25372160,1
4,VSM.UnityCompatibilityRaster,0,0
