observation,marker,gpu_ns,gpu_sample_count
0,VSM.MarkReceiverPages,1243904,1
0,VSM.Allocate,11326976,1
0,VSM.ClearPhysicalPages,473088,1
0,VSM.PageOccupancy,65792,1
0,VSM.FinalizePages,2048,1
0,VSM.DynamicRaster,64512,1
0,VSM.LayoutRemap,2304,1
0,VSM.InvalidateStatic,2816,1
0,VSM.StaticCasterCull,178432,1
0,VSM.DynamicCasterCull,8704,1
0,VSM.PageCull,158720,1
0,VSM.StaticRasterClear,0,1
0,VSM.StaticRasterDraw,29277696,1
0,VSM.DynamicRasterClear,64512,1
0,VSM.DynamicRasterDraw,0,1
0,VSM.StaticRaster,29277952,1
0,VSM.UnityCompatibilityRaster,0,0
0,VSM.Resolve,6026240,1
0,VSM.ResolveTrace,5887232,1
0,VSM.FilterHorizontal,66560,1
0,VSM.FilterVertical,0,0
0,VSM.FilterTemporalVertical,71680,1
0,VSM.ResetFeedback,2048,1
1,VSM.MarkReceiverPages,906496,1
1,VSM.Allocate,11383296,1
1,VSM.ClearPhysicalPages,491776,1
1,VSM.PageOccupancy,74496,1
1,VSM.FinalizePages,1792,1
1,VSM.DynamicRaster,92672,1
1,VSM.LayoutRemap,2560,1
1,VSM.InvalidateStatic,2816,1
1,VSM.StaticCasterCull,179712,1
1,VSM.DynamicCasterCull,0,1
1,VSM.PageCull,159744,1
1,VSM.StaticRasterClear,256,1
1,VSM.StaticRasterDraw,29464832,1
1,VSM.DynamicRasterClear,92416,1
1,VSM.DynamicRasterDraw,0,1
1,VSM.StaticRaster,29465088,1
1,VSM.UnityCompatibilityRaster,0,0
1,VSM.Resolve,6149632,1
1,VSM.ResolveTrace,6010368,1
1,VSM.FilterHorizontal,66816,1
1,VSM.FilterVertical,0,0
1,VSM.FilterTemporalVertical,71168,1
1,VSM.ResetFeedback,2048,1
2,VSM.MarkReceiverPages,1277184,1
2,VSM.Allocate,11419392,1
2,VSM.ClearPhysicalPages,476928,1
2,VSM.PageOccupancy,75776,1
2,VSM.FinalizePages,2304,1
2,VSM.DynamicRaster,17408,1
2,VSM.LayoutRemap,2560,1
2,VSM.InvalidateStatic,3072,1
2,VSM.StaticCasterCull,186112,1
2,VSM.DynamicCasterCull,0,1
2,VSM.PageCull,165888,1
2,VSM.StaticRasterClear,0,1
2,VSM.StaticRasterDraw,28764928,1
2,VSM.DynamicRasterClear,17408,1
2,VSM.DynamicRasterDraw,0,1
2,VSM.StaticRaster,28765184,1
2,VSM.UnityCompatibilityRaster,0,0
2,VSM.Resolve,6199040,1
2,VSM.ResolveTrace,6058496,1
2,VSM.FilterHorizontal,66816,1
2,VSM.FilterVertical,0,0
2,VSM.FilterTemporalVertical,72448,1
2,VSM.ResetFeedback,1792,1
3,VSM.MarkReceiverPages,1271808,1
3,VSM.Allocate,11188224,1
3,VSM.ClearPhysicalPages,470528,1
3,VSM.PageOccupancy,73984,1
3,VSM.FinalizePages,2048,1
3,VSM.DynamicRaster,12544,1
3,VSM.LayoutRemap,2304,1
3,VSM.InvalidateStatic,3072,1
3,VSM.StaticCasterCull,180224,1
3,VSM.DynamicCasterCull,0,1
3,VSM.PageCull,160000,1
3,VSM.StaticRasterClear,256,1
3,VSM.StaticRasterDraw,28768512,1
3,VSM.DynamicRasterClear,12544,1
3,VSM.DynamicRasterDraw,0,1
3,VSM.StaticRaster,28768768,1
3,VSM.UnityCompatibilityRaster,0,0
3,VSM.Resolve,6731008,1
3,VSM.ResolveTrace,5999616,1
3,VSM.FilterHorizontal,67840,1
3,VSM.FilterVertical,0,0
3,VSM.FilterTemporalVertical,71680,1
3,VSM.ResetFeedback,2048,1
4,VSM.MarkReceiverPages,725504,1
4,VSM.Allocate,11226112,1
4,VSM.ClearPhysicalPages,471296,1
4,VSM.PageOccupancy,73984,1
4,VSM.FinalizePages,2304,1
4,VSM.DynamicRaster,13568,1
4,VSM.LayoutRemap,2304,1
4,VSM.InvalidateStatic,2560,1
4,VSM.StaticCasterCull,178432,1
4,VSM.DynamicCasterCull,0,1
4,VSM.PageCull,158720,1
4,VSM.StaticRasterClear,0,1
4,VSM.StaticRasterDraw,28649472,1
4,VSM.DynamicRasterClear,13568,1
4,VSM.DynamicRasterDraw,0,1
4,VSM.StaticRaster,28649728,1
4,VSM.UnityCompatibilityRaster,0,0
4,VSM.Resolve,6688000,1
4,VSM.ResolveTrace,6060544,1
4,VSM.FilterHorizontal,68352,1
4,VSM.FilterVertical,0,0
4,VSM.FilterTemporalVertical,71680,1
4,VSM.ResetFeedback,2048,1
5,VSM.MarkReceiverPages,726016,1
5,VSM.Allocate,11223552,1
5,VSM.ClearPhysicalPages,471296,1
5,VSM.PageOccupancy,71168,1
5,VSM.FinalizePages,2304,1
5,VSM.DynamicRaster,11776,1
5,VSM.LayoutRemap,2304,1
5,VSM.InvalidateStatic,3072,1
5,VSM.StaticCasterCull,177664,1
5,VSM.DynamicCasterCull,0,1
5,VSM.PageCull,158464,1
5,VSM.StaticRasterClear,0,1
5,VSM.StaticRasterDraw,28930560,1
5,VSM.DynamicRasterClear,11776,1
5,VSM.DynamicRasterDraw,0,1
5,VSM.StaticRaster,28930816,1
5,VSM.UnityCompatibilityRaster,0,0
5,VSM.Resolve,5900800,1
5,VSM.ResolveTrace,5761024,1
5,VSM.FilterHorizontal,66816,1
5,VSM.FilterVertical,0,0
5,VSM.FilterTemporalVertical,71936,1
5,VSM.ResetFeedback,1792,1
6,VSM.MarkReceiverPages,1044992,1
6,VSM.Allocate,11286784,1
6,VSM.ClearPhysicalPages,473088,1
6,VSM.PageOccupancy,69888,1
6,VSM.FinalizePages,3328,1
6,VSM.DynamicRaster,86016,1
6,VSM.LayoutRemap,2560,1
6,VSM.InvalidateStatic,2560,1
6,VSM.StaticCasterCull,175104,1
6,VSM.DynamicCasterCull,0,1
6,VSM.PageCull,155904,1
6,VSM.StaticRasterClear,0,1
6,VSM.StaticRasterDraw,29065984,1
6,VSM.DynamicRasterClear,86016,1
6,VSM.DynamicRasterDraw,0,1
6,VSM.StaticRaster,29066240,1
6,VSM.UnityCompatibilityRaster,0,0
6,VSM.Resolve,5851648,1
6,VSM.ResolveTrace,5713152,1
6,VSM.FilterHorizontal,65536,1
6,VSM.FilterVertical,0,0
6,VSM.FilterTemporalVertical,71936,1
6,VSM.ResetFeedback,1792,1
7,VSM.MarkReceiverPages,1001728,1
7,VSM.Allocate,11289600,1
7,VSM.ClearPhysicalPages,472064,1
7,VSM.PageOccupancy,108288,1
7,VSM.FinalizePages,2304,1
7,VSM.DynamicRaster,10240,1
7,VSM.LayoutRemap,2304,1
7,VSM.InvalidateStatic,3072,1
7,VSM.StaticCasterCull,185088,1
7,VSM.DynamicCasterCull,0,1
7,VSM.PageCull,165376,1
7,VSM.StaticRasterClear,0,1
7,VSM.StaticRasterDraw,29174272,1
7,VSM.DynamicRasterClear,9984,1
7,VSM.DynamicRasterDraw,256,1
7,VSM.StaticRaster,29174528,1
7,VSM.UnityCompatibilityRaster,0,0
7,VSM.Resolve,5558784,1
7,VSM.ResolveTrace,5420032,1
7,VSM.FilterHorizontal,66560,1
7,VSM.FilterVertical,0,0
7,VSM.FilterTemporalVertical,71168,1
7,VSM.ResetFeedback,2048,1
8,VSM.MarkReceiverPages,729344,1
8,VSM.Allocate,11357184,1
8,VSM.ClearPhysicalPages,523776,1
8,VSM.PageOccupancy,64768,1
8,VSM.FinalizePages,2048,1
8,VSM.DynamicRaster,80128,1
8,VSM.LayoutRemap,2304,1
8,VSM.InvalidateStatic,2560,1
8,VSM.StaticCasterCull,198656,1
8,VSM.DynamicCasterCull,0,1
8,VSM.PageCull,167424,1
8,VSM.StaticRasterClear,0,1
8,VSM.StaticRasterDraw,29546240,1
8,VSM.DynamicRasterClear,80128,1
8,VSM.DynamicRasterDraw,0,1
8,VSM.StaticRaster,29546240,1
8,VSM.UnityCompatibilityRaster,0,0
8,VSM.Resolve,4961024,1
8,VSM.ResolveTrace,4827136,1
8,VSM.FilterHorizontal,63744,1
8,VSM.FilterVertical,0,0
