observation,marker,gpu_ns,gpu_sample_count
0,VSM.MarkReceiverPages,568832,1
0,VSM.Allocate,2112000,1
0,VSM.ClearPhysicalPages,267008,1
0,VSM.PageOccupancy,56576,1
0,VSM.FinalizePages,1792,1
0,VSM.DynamicRaster,82176,1
0,VSM.LayoutRemap,2560,1
0,VSM.InvalidateStatic,1792,1
0,VSM.StaticCasterCull,122624,1
0,VSM.DynamicCasterCull,0,1
0,VSM.PageCull,102912,1
0,VSM.StaticRasterClear,256,1
0,VSM.StaticRasterDraw,7405568,1
0,VSM.DynamicRasterClear,81920,1
0,VSM.DynamicRasterDraw,0,1
0,VSM.StaticRaster,7405824,1
0,VSM.UnityCompatibilityRaster,0,0
0,VSM.Resolve,2773760,1
0,VSM.ResolveTrace,2643456,1
0,VSM.FilterHorizontal,61184,1
0,VSM.FilterVertical,0,0
0,VSM.FilterTemporalVertical,69120,1
0,VSM.ResetFeedback,1792,1
1,VSM.MarkReceiverPages,868864,1
1,VSM.Allocate,2138368,1
1,VSM.ClearPhysicalPages,268544,1
1,VSM.PageOccupancy,60672,1
1,VSM.FinalizePages,1792,1
1,VSM.DynamicRaster,67072,1
1,VSM.LayoutRemap,2304,1
1,VSM.InvalidateStatic,2048,1
1,VSM.StaticCasterCull,131328,1
1,VSM.DynamicCasterCull,0,1
1,VSM.PageCull,111872,1
1,VSM.StaticRasterClear,0,1
1,VSM.StaticRasterDraw,7301120,1
1,VSM.DynamicRasterClear,67072,1
1,VSM.DynamicRasterDraw,0,1
1,VSM.StaticRaster,7301120,1
1,VSM.UnityCompatibilityRaster,0,0
1,VSM.Resolve,3112960,1
1,VSM.ResolveTrace,2976512,1
1,VSM.FilterHorizontal,64256,1
1,VSM.FilterVertical,0,0
1,VSM.FilterTemporalVertical,71168,1
1,VSM.ResetFeedback,2048,1
2,VSM.MarkReceiverPages,892416,1
2,VSM.Allocate,2149376,1
2,VSM.ClearPhysicalPages,268800,1
2,VSM.PageOccupancy,52224,1
2,VSM.FinalizePages,2048,1
2,VSM.DynamicRaster,44288,1
2,VSM.LayoutRemap,2304,1
2,VSM.InvalidateStatic,2304,1
2,VSM.StaticCasterCull,124160,1
2,VSM.DynamicCasterCull,0,1
2,VSM.PageCull,105216,1
2,VSM.StaticRasterClear,0,1
2,VSM.StaticRasterDraw,7334400,1
2,VSM.DynamicRasterClear,44288,1
2,VSM.DynamicRasterDraw,0,1
2,VSM.StaticRaster,7334656,1
