observation,camera_frame_observed,marker,gpu_ns,gpu_sample_count
0,1145,VSM.MarkReceiverPages,763904,1
0,1145,VSM.Allocate,566528,1
0,1145,VSM.ClearPhysicalPages,261632,1
0,1145,VSM.PageOccupancy,78848,1
0,1145,VSM.FinalizePages,2048,1
0,1145,VSM.DynamicRaster,83712,1
0,1145,VSM.LayoutRemap,0,1
0,1145,VSM.InvalidateStatic,0,0
0,1145,VSM.StaticCasterCull,206080,1
0,1145,VSM.DynamicCasterCull,0,1
0,1145,VSM.PageCull,186880,1
0,1145,VSM.StaticRaster,3072,1
0,1145,VSM.UnityCompatibilityRaster,0,0
0,1145,VSM.Resolve,17837056,1
0,1145,VSM.ResolveTrace,17612288,1
0,1145,VSM.FilterHorizontal,65792,1
0,1145,VSM.FilterVertical,0,0
0,1145,VSM.FilterTemporalVertical,158208,1
0,1145,VSM.ResetFeedback,0,1
1,1146,VSM.MarkReceiverPages,1145088,1
1,1146,VSM.Allocate,569600,1
1,1146,VSM.ClearPhysicalPages,260352,1
1,1146,VSM.PageOccupancy,76288,1
1,1146,VSM.FinalizePages,1792,1
1,1146,VSM.DynamicRaster,93440,1
1,1146,VSM.LayoutRemap,0,1
1,1146,VSM.InvalidateStatic,0,0
1,1146,VSM.StaticCasterCull,208896,1
1,1146,VSM.DynamicCasterCull,0,1
1,1146,VSM.PageCull,190208,1
1,1146,VSM.StaticRaster,7168,1
1,1146,VSM.UnityCompatibilityRaster,0,0
1,1146,VSM.Resolve,17911296,1
1,1146,VSM.ResolveTrace,17687552,1
1,1146,VSM.FilterHorizontal,66048,1
1,1146,VSM.FilterVertical,0,0
1,1146,VSM.FilterTemporalVertical,156672,1
1,1146,VSM.ResetFeedback,0,1
2,1147,VSM.MarkReceiverPages,766976,1
2,1147,VSM.Allocate,566784,1
2,1147,VSM.ClearPhysicalPages,261632,1
2,1147,VSM.PageOccupancy,95232,1
2,1147,VSM.FinalizePages,2304,1
2,1147,VSM.DynamicRaster,86528,1
2,1147,VSM.LayoutRemap,0,1
2,1147,VSM.InvalidateStatic,0,0
2,1147,VSM.StaticCasterCull,199424,1
2,1147,VSM.DynamicCasterCull,0,1
2,1147,VSM.PageCull,180224,1
2,1147,VSM.StaticRaster,7168,1
2,1147,VSM.UnityCompatibilityRaster,0,0
2,1147,VSM.Resolve,18865920,1
2,1147,VSM.ResolveTrace,18641408,1
2,1147,VSM.FilterHorizontal,66816,1
2,1147,VSM.FilterVertical,0,0
2,1147,VSM.FilterTemporalVertical,156672,1
2,1147,VSM.ResetFeedback,0,1
3,1148,VSM.MarkReceiverPages,767744,1
3,1148,VSM.Allocate,565504,1
3,1148,VSM.ClearPhysicalPages,261888,1
3,1148,VSM.PageOccupancy,74240,1
3,1148,VSM.FinalizePages,2048,1
3,1148,VSM.DynamicRaster,88832,1
3,1148,VSM.LayoutRemap,0,1
3,1148,VSM.InvalidateStatic,0,0
3,1148,VSM.StaticCasterCull,202240,1
3,1148,VSM.DynamicCasterCull,0,1
3,1148,VSM.PageCull,183296,1
3,1148,VSM.StaticRaster,3072,1
3,1148,VSM.UnityCompatibilityRaster,0,0
3,1148,VSM.Resolve,18345984,1
3,1148,VSM.ResolveTrace,18120704,1
3,1148,VSM.FilterHorizontal,66048,1
3,1148,VSM.FilterVertical,0,0
3,1148,VSM.FilterTemporalVertical,158464,1
3,1148,VSM.ResetFeedback,0,1
4,1149,VSM.MarkReceiverPages,767744,1
4,1149,VSM.Allocate,575488,1
4,1149,VSM.ClearPhysicalPages,261120,1
4,1149,VSM.PageOccupancy,75776,1
4,1149,VSM.FinalizePages,1792,1
4,1149,VSM.DynamicRaster,87040,1
4,1149,VSM.LayoutRemap,0,1
4,1149,VSM.InvalidateStatic,0,0
4,1149,VSM.StaticCasterCull,199936,1
4,1149,VSM.DynamicCasterCull,0,1
4,1149,VSM.PageCull,180480,1
4,1149,VSM.StaticRaster,7168,1
4,1149,VSM.UnityCompatibilityRaster,0,0
