observation,camera_frame_observed,marker,gpu_ns,gpu_sample_count
0,377,VSM.MarkReceiverPages,492032,1
0,377,VSM.Allocate,275712,1
0,377,VSM.ClearPhysicalPages,180224,1
0,377,VSM.PageOccupancy,61440,1
0,377,VSM.FinalizePages,1536,1
0,377,VSM.DynamicRaster,85504,1
0,377,VSM.LayoutRemap,0,1
0,377,VSM.InvalidateStatic,0,0
0,377,VSM.StaticCasterCull,140032,1
0,377,VSM.DynamicCasterCull,0,1
0,377,VSM.PageCull,120576,1
0,377,VSM.StaticRaster,7168,1
0,377,VSM.UnityCompatibilityRaster,0,0
0,377,VSM.Resolve,4120320,1
0,377,VSM.ResolveTrace,3900672,1
0,377,VSM.FilterHorizontal,63488,1
0,377,VSM.FilterVertical,0,0
0,377,VSM.FilterTemporalVertical,155904,1
0,377,VSM.ResetFeedback,0,1
1,378,VSM.MarkReceiverPages,489984,1
1,378,VSM.Allocate,275712,1
1,378,VSM.ClearPhysicalPages,179456,1
1,378,VSM.PageOccupancy,61952,1
1,378,VSM.FinalizePages,1536,1
1,378,VSM.DynamicRaster,93696,1
1,378,VSM.LayoutRemap,0,1
1,378,VSM.InvalidateStatic,0,0
1,378,VSM.StaticCasterCull,142080,1
1,378,VSM.DynamicCasterCull,0,1
1,378,VSM.PageCull,123648,1
1,378,VSM.StaticRaster,3328,1
1,378,VSM.UnityCompatibilityRaster,0,0
1,378,VSM.Resolve,4697088,1
1,378,VSM.ResolveTrace,4474624,1
1,378,VSM.FilterHorizontal,63488,1
1,378,VSM.FilterVertical,0,0
1,378,VSM.FilterTemporalVertical,157696,1
1,378,VSM.ResetFeedback,0,1
2,379,VSM.MarkReceiverPages,490496,1
2,379,VSM.Allocate,275456,1
2,379,VSM.ClearPhysicalPages,179712,1
2,379,VSM.PageOccupancy,63488,1
2,379,VSM.FinalizePages,1536,1
2,379,VSM.DynamicRaster,83200,1
2,379,VSM.LayoutRemap,0,1
2,379,VSM.InvalidateStatic,0,0
2,379,VSM.StaticCasterCull,136192,1
2,379,VSM.DynamicCasterCull,0,1
2,379,VSM.PageCull,117760,1
2,379,VSM.StaticRaster,3328,1
2,379,VSM.UnityCompatibilityRaster,0,0
2,379,VSM.Resolve,4672768,1
2,379,VSM.ResolveTrace,4450560,1
2,379,VSM.FilterHorizontal,64000,1
2,379,VSM.FilterVertical,0,0
2,379,VSM.FilterTemporalVertical,156928,1
2,379,VSM.ResetFeedback,0,1
3,380,VSM.MarkReceiverPages,491008,1
3,380,VSM.Allocate,275200,1
3,380,VSM.ClearPhysicalPages,180224,1
3,380,VSM.PageOccupancy,61696,1
3,380,VSM.FinalizePages,2048,1
3,380,VSM.DynamicRaster,88576,1
3,380,VSM.LayoutRemap,0,1
3,380,VSM.InvalidateStatic,0,0
3,380,VSM.StaticCasterCull,135680,1
3,380,VSM.DynamicCasterCull,0,1
3,380,VSM.PageCull,117248,1
3,380,VSM.StaticRaster,7424,1
3,380,VSM.UnityCompatibilityRaster,0,0
3,380,VSM.Resolve,4425472,1
3,380,VSM.ResolveTrace,4203520,1
3,380,VSM.FilterHorizontal,64000,1
3,380,VSM.FilterVertical,0,0
3,380,VSM.FilterTemporalVertical,156928,1
3,380,VSM.ResetFeedback,0,1
4,381,VSM.MarkReceiverPages,487680,1
4,381,VSM.Allocate,276224,1
4,381,VSM.ClearPhysicalPages,501248,1
4,381,VSM.PageOccupancy,61440,1
4,381,VSM.FinalizePages,1536,1
4,381,VSM.DynamicRaster,87552,1
4,381,VSM.LayoutRemap,0,1
4,381,VSM.InvalidateStatic,0,0
4,381,VSM.StaticCasterCull,141056,1
4,381,VSM.DynamicCasterCull,0,1
4,381,VSM.PageCull,121344,1
4,381,VSM.StaticRaster,7680,1
4,381,VSM.UnityCompatibilityRaster,0,0
4,381,VSM.Resolve,4550656,1
4,381,VSM.ResolveTrace,4327936,1
4,381,VSM.FilterHorizontal,64256,1
4,381,VSM.FilterVertical,0,0
4,381,VSM.FilterTemporalVertical,157184,1
4,381,VSM.ResetFeedback,0,1
5,382,VSM.MarkReceiverPages,491008,1
5,382,VSM.Allocate,275712,1
5,382,VSM.ClearPhysicalPages,180224,1
5,382,VSM.PageOccupancy,61696,1
5,382,VSM.FinalizePages,1536,1
5,382,VSM.DynamicRaster,88832,1
5,382,VSM.LayoutRemap,0,1
5,382,VSM.InvalidateStatic,0,0
5,382,VSM.StaticCasterCull,138240,1
5,382,VSM.DynamicCasterCull,0,1
5,382,VSM.PageCull,119296,1
5,382,VSM.StaticRaster,5120,1
5,382,VSM.UnityCompatibilityRaster,0,0
5,382,VSM.Resolve,4358400,1
5,382,VSM.ResolveTrace,4138240,1
5,382,VSM.FilterHorizontal,62720,1
5,382,VSM.FilterVertical,0,0
5,382,VSM.FilterTemporalVertical,156416,1
5,382,VSM.ResetFeedback,0,1
6,383,VSM.MarkReceiverPages,488960,1
6,383,VSM.Allocate,274688,1
6,383,VSM.ClearPhysicalPages,179712,1
6,383,VSM.PageOccupancy,60928,1
6,383,VSM.FinalizePages,1536,1
6,383,VSM.DynamicRaster,88064,1
6,383,VSM.LayoutRemap,0,1
6,383,VSM.InvalidateStatic,0,0
6,383,VSM.StaticCasterCull,138752,1
6,383,VSM.DynamicCasterCull,0,1
6,383,VSM.PageCull,120320,1
6,383,VSM.StaticRaster,6912,1
6,383,VSM.UnityCompatibilityRaster,0,0
6,383,VSM.Resolve,4620800,1
6,383,VSM.ResolveTrace,4396288,1
6,383,VSM.FilterHorizontal,65280,1
6,383,VSM.FilterVertical,0,0
6,383,VSM.FilterTemporalVertical,158208,1
6,383,VSM.ResetFeedback,0,1
7,384,VSM.MarkReceiverPages,492032,1
7,384,VSM.Allocate,275200,1
7,384,VSM.ClearPhysicalPages,339968,1
7,384,VSM.PageOccupancy,61952,1
7,384,VSM.FinalizePages,1536,1
7,384,VSM.DynamicRaster,87296,1
7,384,VSM.LayoutRemap,0,1
7,384,VSM.InvalidateStatic,0,0
7,384,VSM.StaticCasterCull,140288,1
7,384,VSM.DynamicCasterCull,0,1
7,384,VSM.PageCull,120832,1
7,384,VSM.StaticRaster,7424,1
7,384,VSM.UnityCompatibilityRaster,0,0
7,384,VSM.Resolve,4427264,1
7,384,VSM.ResolveTrace,4206080,1
7,384,VSM.FilterHorizontal,63488,1
7,384,VSM.FilterVertical,0,0
7,384,VSM.FilterTemporalVertical,156672,1
7,384,VSM.ResetFeedback,0,1
8,385,VSM.MarkReceiverPages,491776,1
8,385,VSM.Allocate,277248,1
8,385,VSM.ClearPhysicalPages,180736,1
8,385,VSM.PageOccupancy,61440,1
8,385,VSM.FinalizePages,1536,1
8,385,VSM.DynamicRaster,82688,1
8,385,VSM.LayoutRemap,0,1
8,385,VSM.InvalidateStatic,0,0
8,385,VSM.StaticCasterCull,138496,1
8,385,VSM.DynamicCasterCull,0,1
8,385,VSM.PageCull,119552,1
8,385,VSM.StaticRaster,8448,1
8,385,VSM.UnityCompatibilityRaster,0,0
8,385,VSM.Resolve,4854272,1
8,385,VSM.ResolveTrace,4630528,1
8,385,VSM.FilterHorizontal,65280,1
8,385,VSM.FilterVertical,0,0
8,385,VSM.FilterTemporalVertical,157440,1
8,385,VSM.ResetFeedback,0,1
9,386,VSM.MarkReceiverPages,491520,1
9,386,VSM.Allocate,275968,1
9,386,VSM.ClearPhysicalPages,458496,1
9,386,VSM.PageOccupancy,61184,1
9,386,VSM.FinalizePages,1792,1
9,386,VSM.DynamicRaster,91904,1
9,386,VSM.LayoutRemap,0,1
9,386,VSM.InvalidateStatic,0,0
9,386,VSM.StaticCasterCull,145408,1
9,386,VSM.DynamicCasterCull,0,1
9,386,VSM.PageCull,124672,1
9,386,VSM.StaticRaster,7168,1
9,386,VSM.UnityCompatibilityRaster,0,0
