run,configuration,marker,window_medians_ms,median_of_window_medians_ms
timing,r2048_p1024_l0_m0,VSM.StaticRaster,"[0.007168, 0.007168]",0.007168
timing,r2048_p1024_l0_m0,VSM.DynamicRaster,"[0.090112, 0.08998400000000001]",0.090048
timing,r2048_p1024_l0_m0,VSM.Allocate,"[0.278528, 0.274432]",0.27648
timing,r2048_p1024_l0_m0,VSM.MarkReceiverPages,"[0.533504, 0.632832]",0.5831679999999999
timing,r2048_p1024_l0_m1,VSM.ResolveTrace,"[5.480576, 4.696704]",5.08864
timing,r2048_p1024_l0_m1,VSM.Resolve,"[5.739264, 4.920704000000001]",5.3299840000000005
timing,r2048_p1024_l0_m1,VSM.ClearPhysicalPages,"[0.374784, 0.190464]",0.282624
timing,r2048_p1024_l0_m1,VSM.PageOccupancy,"[0.0512, 0.05888]",0.055040000000000006
timing,r2048_p1024_l0_m1,VSM.StaticRaster,"[0.007168, 0.007424]",0.007296
timing,r2048_p1024_l0_m1,VSM.DynamicRaster,"[0.089728, 0.089216]",0.089472
timing,r2048_p1024_l0_m1,VSM.Allocate,"[0.278784, 0.274176]",0.27647999999999995
timing,r2048_p1024_l0_m1,VSM.MarkReceiverPages,"[0.533504, 0.6337280000000001]",0.583616
timing,r2048_p1024_l0_m2,VSM.ResolveTrace,"[5.389056, 4.700544]",5.0448
timing,r2048_p1024_l0_m2,VSM.Resolve,"[5.619071999999999, 4.924032]",5.271552
timing,r2048_p1024_l0_m2,VSM.ClearPhysicalPages,"[0.35584, 0.190464]",0.273152
timing,r2048_p1024_l0_m2,VSM.PageOccupancy,"[0.056704000000000004, 0.064512]",0.060608
timing,r2048_p1024_l0_m2,VSM.StaticRaster,"[0.007168, 0.007168]",0.007168
timing,r2048_p1024_l0_m2,VSM.DynamicRaster,"[0.089216, 0.091264]",0.09024
timing,r2048_p1024_l0_m2,VSM.Allocate,"[0.27904, 0.274176]",0.27660799999999997
timing,r2048_p1024_l0_m2,VSM.MarkReceiverPages,"[0.533504, 0.633344]",0.5834239999999999
timing,r2048_p1024_l0_m3,VSM.ResolveTrace,"[5.413119999999999, 4.695552]",5.054335999999999
timing,r2048_p1024_l0_m3,VSM.Resolve,"[5.644416, 4.91904]",5.281727999999999
timing,r2048_p1024_l0_m3,VSM.ClearPhysicalPages,"[0.18291200000000002, 0.190976]",0.186944
timing,r2048_p1024_l0_m3,VSM.PageOccupancy,"[0.051712, 0.059136]",0.055424
timing,r2048_p1024_l0_m3,VSM.StaticRaster,"[0.007168, 0.007168]",0.007168
timing,r2048_p1024_l0_m3,VSM.DynamicRaster,"[0.089856, 0.08832]",0.089088
timing,r2048_p1024_l0_m3,VSM.Allocate,"[0.27904, 0.274304]",0.27667200000000003
timing,r2048_p1024_l0_m3,VSM.MarkReceiverPages,"[0.534528, 0.6336]",0.584064
timing,r2048_p1024_l1_m0,VSM.ResolveTrace,"[5.8868480000000005, 5.171200000000001]",5.529024000000001
timing,r2048_p1024_l1_m0,VSM.Resolve,"[6.12096, 5.397632]",5.759296
timing,r2048_p1024_l1_m0,VSM.ClearPhysicalPages,"[0.937728, 0.801024]",0.8693759999999999
timing,r2048_p1024_l1_m0,VSM.PageOccupancy,"[0.10636799999999999, 0.108032]",0.10719999999999999
timing,r2048_p1024_l1_m0,VSM.StaticRaster,"[0.007168, 0.007168]",0.007168
timing,r2048_p1024_l1_m0,VSM.DynamicRaster,"[0.0896, 0.08768000000000001]",0.08864
timing,r2048_p1024_l1_m0,VSM.Allocate,"[0.27904, 0.27392]",0.27648
timing,r2048_p1024_l1_m0,VSM.MarkReceiverPages,"[0.534016, 0.632576]",0.583296
timing,r2048_p1024_l1_m1,VSM.ResolveTrace,"[5.82144, 5.132928]",5.477183999999999
timing,r2048_p1024_l1_m1,VSM.Resolve,"[6.06976, 5.361408]",5.715584
timing,r2048_p1024_l1_m1,VSM.ClearPhysicalPages,"[0.98688, 0.801024]",0.893952
timing,r2048_p1024_l1_m1,VSM.PageOccupancy,"[0.074752, 0.076288]",0.07552
timing,r2048_p1024_l1_m1,VSM.StaticRaster,"[0.007168, 0.007168]",0.007168
timing,r2048_p1024_l1_m1,VSM.DynamicRaster,"[0.089472, 0.089728]",0.0896
timing,r2048_p1024_l1_m1,VSM.Allocate,"[0.278528, 0.274432]",0.27648
timing,r2048_p1024_l1_m1,VSM.MarkReceiverPages,"[0.533248, 0.634112]",0.58368
timing,r2048_p1024_l1_m2,VSM.ResolveTrace,"[5.88608, 5.174016]",5.530048
timing,r2048_p1024_l1_m2,VSM.Resolve,"[6.159488, 5.4036480000000005]",5.781568
timing,r2048_p1024_l1_m2,VSM.ClearPhysicalPages,"[0.932096, 0.800768]",0.8664320000000001
timing,r2048_p1024_l1_m2,VSM.PageOccupancy,"[0.106496, 0.108288]",0.10739199999999999
timing,r2048_p1024_l1_m2,VSM.StaticRaster,"[0.007168, 0.007424]",0.007296
timing,r2048_p1024_l1_m2,VSM.DynamicRaster,"[0.0896, 0.0896]",0.0896
timing,r2048_p1024_l1_m2,VSM.Allocate,"[0.278784, 0.274176]",0.27647999999999995
timing,r2048_p1024_l1_m2,VSM.MarkReceiverPages,"[0.534272, 0.633216]",0.583744
timing,r2048_p1024_l1_m3,VSM.ResolveTrace,"[5.840384, 6.07872]",5.959552
timing,r2048_p1024_l1_m3,VSM.Resolve,"[6.100096000000001, 6.3557120000000005]",6.2279040000000006
timing,r2048_p1024_l1_m3,VSM.ClearPhysicalPages,"[1.0054400000000001, 0.801408]",0.903424
timing,r2048_p1024_l1_m3,VSM.PageOccupancy,"[0.074752, 0.07552]",0.07513600000000001
timing,r2048_p1024_l1_m3,VSM.StaticRaster,"[0.007168, 0.007168]",0.007168
timing,r2048_p1024_l1_m3,VSM.DynamicRaster,"[0.089216, 0.089856]",0.089536
timing,r2048_p1024_l1_m3,VSM.Allocate,"[0.278784, 0.27264]",0.27571199999999996
timing,r2048_p1024_l1_m3,VSM.MarkReceiverPages,"[0.534016, 0.593152]",0.5635840000000001
timing,r4096_p1024_l0_m0,VSM.ResolveTrace,"[7.040128, 7.027839999999999]",7.033984
timing,r4096_p1024_l0_m0,VSM.Resolve,"[7.2677119999999995, 7.4001920000000005]",7.333952
timing,r4096_p1024_l0_m0,VSM.ClearPhysicalPages,"[0.263936, 0.269184]",0.26656
timing,r4096_p1024_l0_m0,VSM.PageOccupancy,"[0.073984, 0.076032]",0.07500799999999999
timing,r4096_p1024_l0_m0,VSM.StaticRaster,"[0.007168, 0.007168]",0.007168
timing,r4096_p1024_l0_m0,VSM.DynamicRaster,"[0.086784, 0.090752]",0.088768
timing,r4096_p1024_l0_m0,VSM.Allocate,"[0.609152, 0.618496]",0.613824
timing,r4096_p1024_l0_m0,VSM.MarkReceiverPages,"[0.604672, 0.6478079999999999]",0.6262399999999999
timing,r4096_p1024_l0_m1,VSM.ResolveTrace,"[6.231552000000001, 7.228544]",6.730048
timing,r4096_p1024_l0_m1,VSM.Resolve,"[6.464512, 7.5262720000000005]",6.995392000000001
timing,r4096_p1024_l0_m1,VSM.ClearPhysicalPages,"[0.264192, 0.269056]",0.26662399999999997
timing,r4096_p1024_l0_m1,VSM.PageOccupancy,"[0.066688, 0.067328]",0.067008
timing,r4096_p1024_l0_m1,VSM.StaticRaster,"[0.007296, 0.007168]",0.007232000000000001
timing,r4096_p1024_l0_m1,VSM.DynamicRaster,"[0.08832, 0.090624]",0.089472
timing,r4096_p1024_l0_m1,VSM.Allocate,"[0.612224, 0.618496]",0.61536
timing,r4096_p1024_l0_m1,VSM.MarkReceiverPages,"[0.605184, 0.647424]",0.626304
timing,r4096_p1024_l0_m2,VSM.ResolveTrace,"[6.722048, 7.117184]",6.9196159999999995
timing,r4096_p1024_l0_m2,VSM.Resolve,"[6.967936, 7.469696]",7.218816
timing,r4096_p1024_l0_m2,VSM.ClearPhysicalPages,"[0.263936, 0.265344]",0.26464
timing,r4096_p1024_l0_m2,VSM.PageOccupancy,"[0.07424, 0.075904]",0.075072
timing,r4096_p1024_l0_m2,VSM.StaticRaster,"[0.007168, 0.007424]",0.007296
timing,r4096_p1024_l0_m2,VSM.DynamicRaster,"[0.08704, 0.090624]",0.088832
timing,r4096_p1024_l0_m2,VSM.Allocate,"[0.61056, 0.615552]",0.613056
timing,r4096_p1024_l0_m2,VSM.MarkReceiverPages,"[0.60544, 0.608256]",0.606848
timing,r4096_p1024_l0_m3,VSM.ResolveTrace,"[6.673536, 7.1745280000000005]",6.924032
timing,r4096_p1024_l0_m3,VSM.Resolve,"[7.006976, 7.452032]",7.229504
timing,r4096_p1024_l0_m3,VSM.ClearPhysicalPages,"[0.263936, 0.26752]",0.26572799999999996
timing,r4096_p1024_l0_m3,VSM.PageOccupancy,"[0.066816, 0.06643199999999999]",0.06662399999999999
timing,r4096_p1024_l0_m3,VSM.StaticRaster,"[0.007424, 0.007168]",0.007296
timing,r4096_p1024_l0_m3,VSM.DynamicRaster,"[0.088832, 0.090624]",0.089728
timing,r4096_p1024_l0_m3,VSM.Allocate,"[0.608256, 0.617088]",0.612672
timing,r4096_p1024_l0_m3,VSM.MarkReceiverPages,"[0.605184, 0.645504]",0.625344
timing,r4096_p1024_l1_m0,VSM.ResolveTrace,"[24.369664, 23.90272]",24.136192
timing,r4096_p1024_l1_m0,VSM.Resolve,"[24.598399999999998, 24.234624]",24.416511999999997
timing,r4096_p1024_l1_m0,VSM.ClearPhysicalPages,"[1.600768, 1.600768]",1.600768
timing,r4096_p1024_l1_m0,VSM.PageOccupancy,"[0.201728, 0.20096]",0.201344
timing,r4096_p1024_l1_m0,VSM.StaticRaster,"[0.007168, 0.007168]",0.007168
timing,r4096_p1024_l1_m0,VSM.DynamicRaster,"[0.088832, 0.089472]",0.089152
timing,r4096_p1024_l1_m0,VSM.Allocate,"[0.6053120000000001, 0.605696]",0.605504
timing,r4096_p1024_l1_m0,VSM.MarkReceiverPages,"[0.603904, 0.60416]",0.604032
timing,r4096_p1024_l1_m1,VSM.ResolveTrace,"[24.092416, 22.23424]",23.163328
timing,r4096_p1024_l1_m1,VSM.Resolve,"[24.621824, 22.557184]",23.589503999999998
timing,r4096_p1024_l1_m1,VSM.ClearPhysicalPages,"[1.600768, 1.600768]",1.600768
timing,r4096_p1024_l1_m1,VSM.PageOccupancy,"[0.082432, 0.081792]",0.082112
timing,r4096_p1024_l1_m1,VSM.StaticRaster,"[0.007168, 0.007168]",0.007168
timing,r4096_p1024_l1_m1,VSM.DynamicRaster,"[0.087168, 0.089856]",0.08851200000000001
timing,r4096_p1024_l1_m1,VSM.Allocate,"[0.603904, 0.606848]",0.605376
timing,r4096_p1024_l1_m1,VSM.MarkReceiverPages,"[0.60416, 0.60416]",0.60416
timing,r4096_p1024_l1_m2,VSM.ResolveTrace,"[24.511232, 24.267648]",24.38944
timing,r4096_p1024_l1_m2,VSM.Resolve,"[24.803584, 24.58176]",24.692672
timing,r4096_p1024_l1_m2,VSM.ClearPhysicalPages,"[1.600768, 1.601024]",1.600896
timing,r4096_p1024_l1_m2,VSM.PageOccupancy,"[0.201728, 0.20096]",0.201344
timing,r4096_p1024_l1_m2,VSM.StaticRaster,"[0.007168, 0.007168]",0.007168
timing,r4096_p1024_l1_m2,VSM.DynamicRaster,"[0.089856, 0.089472]",0.089664
timing,r4096_p1024_l1_m2,VSM.Allocate,"[0.605952, 0.604672]",0.6053120000000001
timing,r4096_p1024_l1_m2,VSM.MarkReceiverPages,"[0.60416, 0.603904]",0.604032
timing,r4096_p1024_l1_m3,VSM.ResolveTrace,"[22.137728, 22.187392000000003]",22.16256
timing,r4096_p1024_l1_m3,VSM.Resolve,"[22.443392000000003, 22.511872]",22.477632
timing,r4096_p1024_l1_m3,VSM.ClearPhysicalPages,"[1.600768, 1.601024]",1.600896
timing,r4096_p1024_l1_m3,VSM.PageOccupancy,"[0.08204800000000001, 0.081664]",0.08185600000000001
timing,r4096_p1024_l1_m3,VSM.StaticRaster,"[0.007168, 0.007168]",0.007168
timing,r4096_p1024_l1_m3,VSM.DynamicRaster,"[0.0896, 0.0896]",0.0896
timing,r4096_p1024_l1_m3,VSM.Allocate,"[0.60416, 0.6086400000000001]",0.6064
timing,r4096_p1024_l1_m3,VSM.MarkReceiverPages,"[0.603904, 0.603904]",0.603904
timing-moving-light,r2048_p1024_l0_m0,VSM.ResolveTrace,"[4.5664, 4.560512]",4.563456
timing-moving-light,r2048_p1024_l0_m0,VSM.Resolve,"[4.69824, 4.692608]",4.695424
timing-moving-light,r2048_p1024_l0_m0,VSM.ClearPhysicalPages,"[0.268032, 0.267776]",0.26790400000000003
timing-moving-light,r2048_p1024_l0_m0,VSM.PageOccupancy,"[0.056448, 0.056192000000000006]",0.05632
timing-moving-light,r2048_p1024_l0_m0,VSM.StaticRaster,"[7.98976, 7.967744]",7.978752
timing-moving-light,r2048_p1024_l0_m0,VSM.DynamicRaster,"[0.084864, 0.085632]",0.08524799999999999
timing-moving-light,r2048_p1024_l0_m0,VSM.Allocate,"[2.110464, 2.10432]",2.107392
timing-moving-light,r2048_p1024_l0_m0,VSM.MarkReceiverPages,"[0.634368, 0.613376]",0.623872
timing-moving-light,r2048_p1024_l0_m1,VSM.ResolveTrace,"[4.564992, 4.559104]",4.562048
timing-moving-light,r2048_p1024_l0_m1,VSM.Resolve,"[4.697216, 4.692096]",4.694656
timing-moving-light,r2048_p1024_l0_m1,VSM.ClearPhysicalPages,"[0.268672, 0.268032]",0.26835200000000003
timing-moving-light,r2048_p1024_l0_m1,VSM.PageOccupancy,"[0.135168, 0.133376]",0.134272
timing-moving-light,r2048_p1024_l0_m1,VSM.StaticRaster,"[8.003968, 8.010496]",8.007232
timing-moving-light,r2048_p1024_l0_m1,VSM.DynamicRaster,"[0.083328, 0.086272]",0.0848
timing-moving-light,r2048_p1024_l0_m1,VSM.Allocate,"[2.112768, 2.104704]",2.108736
timing-moving-light,r2048_p1024_l0_m1,VSM.MarkReceiverPages,"[0.635136, 0.613376]",0.624256
timing-moving-light,r2048_p1024_l0_m2,VSM.ResolveTrace,"[4.578048, 4.55872]",4.568384
timing-moving-light,r2048_p1024_l0_m2,VSM.Resolve,"[4.7092480000000005, 4.690303999999999]",4.699776
timing-moving-light,r2048_p1024_l0_m2,VSM.ClearPhysicalPages,"[0.2688, 0.268288]",0.268544
timing-moving-light,r2048_p1024_l0_m2,VSM.PageOccupancy,"[0.055808, 0.055552]",0.05568
timing-moving-light,r2048_p1024_l0_m2,VSM.StaticRaster,"[8.024576, 7.989504]",8.00704
timing-moving-light,r2048_p1024_l0_m2,VSM.DynamicRaster,"[0.082176, 0.084992]",0.08358399999999999
timing-moving-light,r2048_p1024_l0_m2,VSM.Allocate,"[2.112896, 2.106368]",2.109632
timing-moving-light,r2048_p1024_l0_m2,VSM.MarkReceiverPages,"[0.634624, 0.613248]",0.623936
timing-moving-light,r2048_p1024_l1_m0,VSM.ResolveTrace,"[5.018496, 5.008896]",5.0136959999999995
timing-moving-light,r2048_p1024_l1_m0,VSM.Resolve,"[5.152, 5.142656000000001]",5.147328
timing-moving-light,r2048_p1024_l1_m0,VSM.ClearPhysicalPages,"[1.396608, 1.391232]",1.39392
timing-moving-light,r2048_p1024_l1_m0,VSM.PageOccupancy,"[0.119552, 0.118528]",0.11904
timing-moving-light,r2048_p1024_l1_m0,VSM.StaticRaster,"[9.844096, 9.812224]",9.82816
timing-moving-light,r2048_p1024_l1_m0,VSM.DynamicRaster,"[0.042368, 0.083968]",0.063168
timing-moving-light,r2048_p1024_l1_m0,VSM.Allocate,"[2.10816, 2.106112]",2.1071359999999997
timing-moving-light,r2048_p1024_l1_m0,VSM.MarkReceiverPages,"[0.633856, 0.614144]",0.624
timing-moving-light,r4096_p1024_l0_m0,VSM.ResolveTrace,"[6.711424, 6.747648]",6.7295359999999995
timing-moving-light,r4096_p1024_l0_m0,VSM.Resolve,"[6.862592, 6.899584]",6.881088
timing-moving-light,r4096_p1024_l0_m0,VSM.ClearPhysicalPages,"[0.4736, 0.4736]",0.4736
timing-moving-light,r4096_p1024_l0_m0,VSM.PageOccupancy,"[0.073472, 0.07424]",0.073856
