observation,editor_time,camera_cpu_ms,marker,gpu_ns,gpu_sample_count
0,667.2316012,1.9468000000415486,VSM.MarkReceiverPages,557568,1
0,667.2316012,1.9468000000415486,VSM.AllocationPrepare,9728,1
0,667.2316012,1.9468000000415486,VSM.AllocationCommit,600576,1
0,667.2316012,1.9468000000415486,VSM.Allocate,610560,1
0,667.2316012,1.9468000000415486,VSM.ClearPhysicalPages,119552,1
0,667.2316012,1.9468000000415486,VSM.PageOccupancy,2560,1
0,667.2316012,1.9468000000415486,VSM.FinalizePages,1792,1
0,667.2316012,1.9468000000415486,VSM.DynamicRaster,17920,1
0,667.2316012,1.9468000000415486,VSM.LayoutRemap,0,1
0,667.2316012,1.9468000000415486,VSM.InvalidateStatic,0,0
0,667.2316012,1.9468000000415486,VSM.InvalidateDynamic,0,1
0,667.2316012,1.9468000000415486,VSM.StaticCasterCull,216320,1
0,667.2316012,1.9468000000415486,VSM.DynamicCasterCull,358656,1
0,667.2316012,1.9468000000415486,VSM.PageCull,284160,2
0,667.2316012,1.9468000000415486,VSM.StaticRasterClear,256,1
0,667.2316012,1.9468000000415486,VSM.StaticRasterDraw,7680,1
0,667.2316012,1.9468000000415486,VSM.DynamicRasterClear,7936,1
0,667.2316012,1.9468000000415486,VSM.DynamicRasterDraw,8192,1
0,667.2316012,1.9468000000415486,VSM.StaticRaster,7936,1
0,667.2316012,1.9468000000415486,VSM.UnityCompatibilityRaster,0,0
0,667.2316012,1.9468000000415486,VSM.Resolve,6407680,1
0,667.2316012,1.9468000000415486,VSM.ResolveTrace,6182144,1
0,667.2316012,1.9468000000415486,VSM.FilterHorizontal,65280,1
0,667.2316012,1.9468000000415486,VSM.FilterVertical,0,0
0,667.2316012,1.9468000000415486,VSM.FilterTemporalVertical,159232,1
0,667.2316012,1.9468000000415486,VSM.ResetFeedback,0,1
1,667.24660339999991,1.9608999999718435,VSM.MarkReceiverPages,557824,1
1,667.24660339999991,1.9608999999718435,VSM.AllocationPrepare,9472,1
1,667.24660339999991,1.9608999999718435,VSM.AllocationCommit,601344,1
1,667.24660339999991,1.9608999999718435,VSM.Allocate,762880,1
1,667.24660339999991,1.9608999999718435,VSM.ClearPhysicalPages,119552,1
1,667.24660339999991,1.9608999999718435,VSM.PageOccupancy,2560,1
1,667.24660339999991,1.9608999999718435,VSM.FinalizePages,1536,1
1,667.24660339999991,1.9608999999718435,VSM.DynamicRaster,7936,1
1,667.24660339999991,1.9608999999718435,VSM.LayoutRemap,0,1
1,667.24660339999991,1.9608999999718435,VSM.InvalidateStatic,0,0
1,667.24660339999991,1.9608999999718435,VSM.InvalidateDynamic,0,1
1,667.24660339999991,1.9608999999718435,VSM.StaticCasterCull,207104,1
1,667.24660339999991,1.9608999999718435,VSM.DynamicCasterCull,120576,1
1,667.24660339999991,1.9608999999718435,VSM.PageCull,293888,2
1,667.24660339999991,1.9608999999718435,VSM.StaticRasterClear,0,1
1,667.24660339999991,1.9608999999718435,VSM.StaticRasterDraw,7168,1
1,667.24660339999991,1.9608999999718435,VSM.DynamicRasterClear,256,1
1,667.24660339999991,1.9608999999718435,VSM.DynamicRasterDraw,7680,1
1,667.24660339999991,1.9608999999718435,VSM.StaticRaster,7424,1
1,667.24660339999991,1.9608999999718435,VSM.UnityCompatibilityRaster,0,0
1,667.24660339999991,1.9608999999718435,VSM.Resolve,6170624,1
1,667.24660339999991,1.9608999999718435,VSM.ResolveTrace,5939712,1
1,667.24660339999991,1.9608999999718435,VSM.FilterHorizontal,67072,1
1,667.24660339999991,1.9608999999718435,VSM.FilterVertical,0,0
1,667.24660339999991,1.9608999999718435,VSM.FilterTemporalVertical,162816,1
1,667.24660339999991,1.9608999999718435,VSM.ResetFeedback,0,1
2,667.2614711,2.0255000000588552,VSM.MarkReceiverPages,561152,1
2,667.2614711,2.0255000000588552,VSM.AllocationPrepare,9728,1
2,667.2614711,2.0255000000588552,VSM.AllocationCommit,606720,1
2,667.2614711,2.0255000000588552,VSM.Allocate,900608,1
2,667.2614711,2.0255000000588552,VSM.ClearPhysicalPages,120576,1
2,667.2614711,2.0255000000588552,VSM.PageOccupancy,2560,1
2,667.2614711,2.0255000000588552,VSM.FinalizePages,1792,1
2,667.2614711,2.0255000000588552,VSM.DynamicRaster,7168,1
2,667.2614711,2.0255000000588552,VSM.LayoutRemap,0,1
2,667.2614711,2.0255000000588552,VSM.InvalidateStatic,0,0
2,667.2614711,2.0255000000588552,VSM.InvalidateDynamic,256,1
2,667.2614711,2.0255000000588552,VSM.StaticCasterCull,204288,1
2,667.2614711,2.0255000000588552,VSM.DynamicCasterCull,123904,1
2,667.2614711,2.0255000000588552,VSM.PageCull,293376,2
2,667.2614711,2.0255000000588552,VSM.StaticRasterClear,256,1
2,667.2614711,2.0255000000588552,VSM.StaticRasterDraw,6912,1
2,667.2614711,2.0255000000588552,VSM.DynamicRasterClear,256,1
2,667.2614711,2.0255000000588552,VSM.DynamicRasterDraw,6912,1
2,667.2614711,2.0255000000588552,VSM.StaticRaster,7168,1
2,667.2614711,2.0255000000588552,VSM.UnityCompatibilityRaster,0,0
2,667.2614711,2.0255000000588552,VSM.Resolve,6099712,1
2,667.2614711,2.0255000000588552,VSM.ResolveTrace,5872384,1
2,667.2614711,2.0255000000588552,VSM.FilterHorizontal,65536,1
2,667.2614711,2.0255000000588552,VSM.FilterVertical,0,0
2,667.2614711,2.0255000000588552,VSM.FilterTemporalVertical,160768,1
2,667.2614711,2.0255000000588552,VSM.ResetFeedback,0,1
3,667.2767113,1.9626000000698696,VSM.MarkReceiverPages,558848,1
3,667.2767113,1.9626000000698696,VSM.AllocationPrepare,9472,1
3,667.2767113,1.9626000000698696,VSM.AllocationCommit,607488,1
