observation,camera_frame_observed,marker,gpu_ns,gpu_sample_count
0,13705,VSM.MarkReceiverPages,559872,1
0,13705,VSM.Allocate,602624,1
0,13705,VSM.ClearPhysicalPages,263680,1
0,13705,VSM.PageOccupancy,73216,1
0,13705,VSM.FinalizePages,1792,1
0,13705,VSM.DynamicRaster,89600,1
0,13705,VSM.LayoutRemap,0,1
0,13705,VSM.InvalidateStatic,0,0
0,13705,VSM.StaticCasterCull,205312,1
0,13705,VSM.DynamicCasterCull,0,1
0,13705,VSM.PageCull,186112,1
0,13705,VSM.StaticRaster,7680,1
0,13705,VSM.UnityCompatibilityRaster,0,0
0,13705,VSM.Resolve,6658304,1
0,13705,VSM.ResolveTrace,6095616,1
0,13705,VSM.FilterHorizontal,66304,1
0,13705,VSM.FilterVertical,0,0
0,13705,VSM.FilterTemporalVertical,495616,1
0,13705,VSM.ResetFeedback,0,1
1,13706,VSM.MarkReceiverPages,559360,1
1,13706,VSM.Allocate,609792,1
1,13706,VSM.ClearPhysicalPages,262656,1
1,13706,VSM.PageOccupancy,66560,1
1,13706,VSM.FinalizePages,1536,1
1,13706,VSM.DynamicRaster,94720,1
1,13706,VSM.LayoutRemap,0,1
1,13706,VSM.InvalidateStatic,0,0
1,13706,VSM.StaticCasterCull,208384,1
1,13706,VSM.DynamicCasterCull,0,1
1,13706,VSM.PageCull,189696,1
1,13706,VSM.StaticRaster,8448,1
1,13706,VSM.UnityCompatibilityRaster,0,0
1,13706,VSM.Resolve,5359872,1
1,13706,VSM.ResolveTrace,4962304,1
1,13706,VSM.FilterHorizontal,240640,1
1,13706,VSM.FilterVertical,0,0
1,13706,VSM.FilterTemporalVertical,155904,1
1,13706,VSM.ResetFeedback,0,1
2,13707,VSM.MarkReceiverPages,559872,1
2,13707,VSM.Allocate,594176,1
2,13707,VSM.ClearPhysicalPages,261632,1
2,13707,VSM.PageOccupancy,71168,1
2,13707,VSM.FinalizePages,1792,1
2,13707,VSM.DynamicRaster,81664,1
2,13707,VSM.LayoutRemap,0,1
2,13707,VSM.InvalidateStatic,0,0
2,13707,VSM.StaticCasterCull,198144,1
2,13707,VSM.DynamicCasterCull,0,1
2,13707,VSM.PageCull,178944,1
2,13707,VSM.StaticRaster,3584,1
2,13707,VSM.UnityCompatibilityRaster,0,0
2,13707,VSM.Resolve,5997568,1
2,13707,VSM.ResolveTrace,5496576,1
2,13707,VSM.FilterHorizontal,65024,1
2,13707,VSM.FilterVertical,0,0
2,13707,VSM.FilterTemporalVertical,158464,1
2,13707,VSM.ResetFeedback,0,1
3,13708,VSM.MarkReceiverPages,559872,1
3,13708,VSM.Allocate,596992,1
3,13708,VSM.ClearPhysicalPages,261120,1
3,13708,VSM.PageOccupancy,75776,1
3,13708,VSM.FinalizePages,1536,1
3,13708,VSM.DynamicRaster,86528,1
3,13708,VSM.LayoutRemap,0,1
3,13708,VSM.InvalidateStatic,0,0
3,13708,VSM.StaticCasterCull,200704,1
3,13708,VSM.DynamicCasterCull,0,1
3,13708,VSM.PageCull,182272,1
3,13708,VSM.StaticRaster,3328,1
3,13708,VSM.UnityCompatibilityRaster,0,0
3,13708,VSM.Resolve,6321408,1
3,13708,VSM.ResolveTrace,6097152,1
3,13708,VSM.FilterHorizontal,65792,1
3,13708,VSM.FilterVertical,0,0
