observation,camera_frame_observed,marker,gpu_ns,gpu_sample_count
0,2407,VSM.MarkReceiverPages,611840,1
0,2407,VSM.Allocate,2106368,1
0,2407,VSM.ClearPhysicalPages,1388288,1
0,2407,VSM.PageOccupancy,116992,1
0,2407,VSM.FinalizePages,2304,1
0,2407,VSM.DynamicRaster,88832,1
0,2407,VSM.LayoutRemap,2048,1
0,2407,VSM.InvalidateStatic,1536,1
0,2407,VSM.StaticCasterCull,129280,1
0,2407,VSM.DynamicCasterCull,0,1
0,2407,VSM.PageCull,109824,1
0,2407,VSM.StaticRaster,9715200,1
0,2407,VSM.UnityCompatibilityRaster,0,0
0,2407,VSM.Resolve,5147136,1
0,2407,VSM.ResolveTrace,5012224,1
0,2407,VSM.FilterHorizontal,64000,1
0,2407,VSM.FilterVertical,0,0
0,2407,VSM.FilterTemporalVertical,70912,1
0,2407,VSM.ResetFeedback,2304,1
1,2408,VSM.MarkReceiverPages,804608,1
1,2408,VSM.Allocate,2121472,1
1,2408,VSM.ClearPhysicalPages,1393152,1
1,2408,VSM.PageOccupancy,117504,1
1,2408,VSM.FinalizePages,2304,1
1,2408,VSM.DynamicRaster,86784,1
1,2408,VSM.LayoutRemap,2304,1
1,2408,VSM.InvalidateStatic,2048,1
1,2408,VSM.StaticCasterCull,113664,1
1,2408,VSM.DynamicCasterCull,0,1
1,2408,VSM.PageCull,93696,1
1,2408,VSM.StaticRaster,9737984,1
1,2408,VSM.UnityCompatibilityRaster,0,0
1,2408,VSM.Resolve,5145344,1
1,2408,VSM.ResolveTrace,5010944,1
1,2408,VSM.FilterHorizontal,63744,1
1,2408,VSM.FilterVertical,0,0
1,2408,VSM.FilterTemporalVertical,70144,1
1,2408,VSM.ResetFeedback,2048,1
2,2409,VSM.MarkReceiverPages,615936,1
2,2409,VSM.Allocate,2120192,1
2,2409,VSM.ClearPhysicalPages,1393408,1
2,2409,VSM.PageOccupancy,118784,1
2,2409,VSM.FinalizePages,2304,1
2,2409,VSM.DynamicRaster,26368,1
2,2409,VSM.LayoutRemap,2304,1
2,2409,VSM.InvalidateStatic,1792,1
2,2409,VSM.StaticCasterCull,125696,1
2,2409,VSM.DynamicCasterCull,0,1
2,2409,VSM.PageCull,106240,1
