observation,camera_frame_observed,marker,gpu_ns,gpu_sample_count
0,103,VSM.MarkReceiverPages,634368,1
0,103,VSM.Allocate,2104832,1
0,103,VSM.ClearPhysicalPages,267264,1
0,103,VSM.PageOccupancy,56576,1
0,103,VSM.FinalizePages,2048,1
0,103,VSM.DynamicRaster,88064,1
0,103,VSM.LayoutRemap,2560,1
0,103,VSM.InvalidateStatic,1792,1
0,103,VSM.StaticCasterCull,122368,1
0,103,VSM.DynamicCasterCull,0,1
0,103,VSM.PageCull,103936,1
0,103,VSM.StaticRaster,7913984,1
0,103,VSM.UnityCompatibilityRaster,0,0
0,103,VSM.Resolve,4700416,1
0,103,VSM.ResolveTrace,4567040,1
0,103,VSM.FilterHorizontal,61696,1
0,103,VSM.FilterVertical,0,0
0,103,VSM.FilterTemporalVertical,71168,1
0,103,VSM.ResetFeedback,2304,1
1,104,VSM.MarkReceiverPages,661760,1
1,104,VSM.Allocate,2120704,1
1,104,VSM.ClearPhysicalPages,268032,1
1,104,VSM.PageOccupancy,54784,1
1,104,VSM.FinalizePages,2304,1
1,104,VSM.DynamicRaster,86272,1
1,104,VSM.LayoutRemap,2304,1
1,104,VSM.InvalidateStatic,1792,1
1,104,VSM.StaticCasterCull,121600,1
1,104,VSM.DynamicCasterCull,0,1
1,104,VSM.PageCull,102656,1
1,104,VSM.StaticRaster,7953664,1
1,104,VSM.UnityCompatibilityRaster,0,0
1,104,VSM.Resolve,4705536,1
1,104,VSM.ResolveTrace,4574208,1
1,104,VSM.FilterHorizontal,61696,1
1,104,VSM.FilterVertical,0,0
1,104,VSM.FilterTemporalVertical,69376,1
1,104,VSM.ResetFeedback,2304,1
2,105,VSM.MarkReceiverPages,633600,1
2,105,VSM.Allocate,2142720,1
2,105,VSM.ClearPhysicalPages,270848,1
2,105,VSM.PageOccupancy,54784,1
2,105,VSM.FinalizePages,2048,1
2,105,VSM.DynamicRaster,90624,1
2,105,VSM.LayoutRemap,2560,1
2,105,VSM.InvalidateStatic,1792,1
2,105,VSM.StaticCasterCull,131584,1
2,105,VSM.DynamicCasterCull,0,1
2,105,VSM.PageCull,112640,1
2,105,VSM.StaticRaster,8067072,1
2,105,VSM.UnityCompatibilityRaster,0,0
2,105,VSM.Resolve,4744704,1
2,105,VSM.ResolveTrace,4612864,1
2,105,VSM.FilterHorizontal,62208,1
2,105,VSM.FilterVertical,0,0
2,105,VSM.FilterTemporalVertical,69632,1
2,105,VSM.ResetFeedback,2304,1
3,106,VSM.MarkReceiverPages,1202176,1
3,106,VSM.Allocate,2110720,1
3,106,VSM.ClearPhysicalPages,267776,1
3,106,VSM.PageOccupancy,55552,1
3,106,VSM.FinalizePages,2048,1
3,106,VSM.DynamicRaster,10496,1
3,106,VSM.LayoutRemap,2304,1
3,106,VSM.InvalidateStatic,2304,1
3,106,VSM.StaticCasterCull,131328,1
3,106,VSM.DynamicCasterCull,0,1
3,106,VSM.PageCull,112384,1
3,106,VSM.StaticRaster,7970048,1
3,106,VSM.UnityCompatibilityRaster,0,0
3,106,VSM.Resolve,4710656,1
3,106,VSM.ResolveTrace,4579328,1
3,106,VSM.FilterHorizontal,61696,1
3,106,VSM.FilterVertical,0,0
3,106,VSM.FilterTemporalVertical,69376,1
3,106,VSM.ResetFeedback,2304,1
4,107,VSM.MarkReceiverPages,650752,1
4,107,VSM.Allocate,2089984,1
4,107,VSM.ClearPhysicalPages,267264,1
4,107,VSM.PageOccupancy,59392,1
4,107,VSM.FinalizePages,2048,1
4,107,VSM.DynamicRaster,91136,1
4,107,VSM.LayoutRemap,2304,1
4,107,VSM.InvalidateStatic,1792,1
4,107,VSM.StaticCasterCull,130816,1
4,107,VSM.DynamicCasterCull,0,1
4,107,VSM.PageCull,111616,1
4,107,VSM.StaticRaster,7882240,1
4,107,VSM.UnityCompatibilityRaster,0,0
4,107,VSM.Resolve,4705024,1
4,107,VSM.ResolveTrace,4573952,1
4,107,VSM.FilterHorizontal,61440,1
4,107,VSM.FilterVertical,0,0
4,107,VSM.FilterTemporalVertical,69120,1
4,107,VSM.ResetFeedback,2304,1
5,108,VSM.MarkReceiverPages,631296,1
5,108,VSM.Allocate,2092288,1
5,108,VSM.ClearPhysicalPages,267520,1
5,108,VSM.PageOccupancy,55296,1
5,108,VSM.FinalizePages,2048,1
5,108,VSM.DynamicRaster,15104,1
5,108,VSM.LayoutRemap,2560,1
5,108,VSM.InvalidateStatic,2560,1
