observation,marker,gpu_ns,gpu_sample_count
6,VSM.PageOccupancy,57600,1
6,VSM.FinalizePages,1792,1
6,VSM.DynamicRaster,13056,1
6,VSM.LayoutRemap,2048,1
6,VSM.InvalidateStatic,1792,1
6,VSM.StaticCasterCull,134656,1
6,VSM.DynamicCasterCull,0,1
6,VSM.PageCull,115968,1
6,VSM.StaticRasterClear,0,1
6,VSM.StaticRasterDraw,4360448,1
6,VSM.DynamicRasterClear,13056,1
6,VSM.DynamicRasterDraw,0,1
6,VSM.StaticRaster,4360448,1
6,VSM.UnityCompatibilityRaster,0,0
6,VSM.Resolve,4041472,1
6,VSM.ResolveTrace,3907584,1
6,VSM.FilterHorizontal,62208,1
6,VSM.FilterVertical,0,0
6,VSM.FilterTemporalVertical,71424,1
6,VSM.ResetFeedback,2048,1
7,VSM.MarkReceiverPages,877568,1
7,VSM.Allocate,2129664,1
7,VSM.ClearPhysicalPages,269568,1
7,VSM.PageOccupancy,55040,1
7,VSM.FinalizePages,1792,1
7,VSM.DynamicRaster,11776,1
7,VSM.LayoutRemap,2048,1
7,VSM.InvalidateStatic,2304,1
7,VSM.StaticCasterCull,128512,1
7,VSM.DynamicCasterCull,0,1
7,VSM.PageCull,109056,1
7,VSM.StaticRasterClear,256,1
7,VSM.StaticRasterDraw,4438016,1
7,VSM.DynamicRasterClear,11776,1
7,VSM.DynamicRasterDraw,0,1
7,VSM.StaticRaster,4438272,1
7,VSM.UnityCompatibilityRaster,0,0
7,VSM.Resolve,4059904,1
7,VSM.ResolveTrace,3924992,1
7,VSM.FilterHorizontal,62464,1
7,VSM.FilterVertical,0,0
7,VSM.FilterTemporalVertical,72192,1
7,VSM.ResetFeedback,2048,1
8,VSM.MarkReceiverPages,562432,1
8,VSM.Allocate,2123264,1
8,VSM.ClearPhysicalPages,268544,1
8,VSM.PageOccupancy,55552,1
8,VSM.FinalizePages,2048,1
8,VSM.DynamicRaster,12032,1
8,VSM.LayoutRemap,2304,1
8,VSM.InvalidateStatic,2048,1
8,VSM.StaticCasterCull,128768,1
8,VSM.DynamicCasterCull,0,1
8,VSM.PageCull,109568,1
8,VSM.StaticRasterClear,256,1
8,VSM.StaticRasterDraw,4691968,1
8,VSM.DynamicRasterClear,12032,1
8,VSM.DynamicRasterDraw,0,1
8,VSM.StaticRaster,4692224,1
8,VSM.UnityCompatibilityRaster,0,0
8,VSM.Resolve,4056576,1
8,VSM.ResolveTrace,3922176,1
8,VSM.FilterHorizontal,62208,1
8,VSM.FilterVertical,0,0
8,VSM.FilterTemporalVertical,71936,1
8,VSM.ResetFeedback,2048,1
9,VSM.MarkReceiverPages,875520,1
9,VSM.Allocate,2153216,1
9,VSM.ClearPhysicalPages,270592,1
9,VSM.PageOccupancy,55296,1
9,VSM.FinalizePages,1792,1
9,VSM.DynamicRaster,12800,1
9,VSM.LayoutRemap,2304,1
9,VSM.InvalidateStatic,2048,1
9,VSM.StaticCasterCull,134400,1
9,VSM.DynamicCasterCull,0,1
9,VSM.PageCull,115200,1
9,VSM.StaticRasterClear,0,1
9,VSM.StaticRasterDraw,4366080,1
9,VSM.DynamicRasterClear,12800,1
9,VSM.DynamicRasterDraw,0,1
9,VSM.StaticRaster,4366336,1
9,VSM.UnityCompatibilityRaster,0,0
9,VSM.Resolve,4349184,1
9,VSM.ResolveTrace,4212992,1
9,VSM.FilterHorizontal,62720,1
9,VSM.FilterVertical,0,0
9,VSM.FilterTemporalVertical,72192,1
9,VSM.ResetFeedback,2048,1
10,VSM.MarkReceiverPages,562432,1
10,VSM.Allocate,2137088,1
10,VSM.ClearPhysicalPages,271104,1
10,VSM.PageOccupancy,57088,1
10,VSM.FinalizePages,2048,1
10,VSM.DynamicRaster,11264,1
10,VSM.LayoutRemap,2048,1
10,VSM.InvalidateStatic,1792,1
10,VSM.StaticCasterCull,130816,1
10,VSM.DynamicCasterCull,0,1
10,VSM.PageCull,111872,1
10,VSM.StaticRasterClear,0,1
10,VSM.StaticRasterDraw,4423680,1
10,VSM.DynamicRasterClear,11264,1
10,VSM.DynamicRasterDraw,0,1
10,VSM.StaticRaster,4423936,1
10,VSM.UnityCompatibilityRaster,0,0
10,VSM.Resolve,4037888,1
10,VSM.ResolveTrace,3905536,1
10,VSM.FilterHorizontal,62208,1
10,VSM.FilterVertical,0,0
10,VSM.FilterTemporalVertical,69888,1
10,VSM.ResetFeedback,2048,1
11,VSM.MarkReceiverPages,557824,1
11,VSM.Allocate,2127872,1
11,VSM.ClearPhysicalPages,269824,1
11,VSM.PageOccupancy,57600,1
11,VSM.FinalizePages,1792,1
11,VSM.DynamicRaster,11008,1
11,VSM.LayoutRemap,2560,1
11,VSM.InvalidateStatic,2048,1
11,VSM.StaticCasterCull,130304,1
11,VSM.DynamicCasterCull,0,1
11,VSM.PageCull,110848,1
11,VSM.StaticRasterClear,0,1
11,VSM.StaticRasterDraw,4396032,1
11,VSM.DynamicRasterClear,11008,1
11,VSM.DynamicRasterDraw,0,1
11,VSM.StaticRaster,4396288,1
11,VSM.UnityCompatibilityRaster,0,0
11,VSM.Resolve,4336896,1
11,VSM.ResolveTrace,4202752,1
11,VSM.FilterHorizontal,61952,1
11,VSM.FilterVertical,0,0
11,VSM.FilterTemporalVertical,71168,1
11,VSM.ResetFeedback,2048,1
12,VSM.MarkReceiverPages,557568,1
12,VSM.Allocate,2106880,1
12,VSM.ClearPhysicalPages,267008,1
12,VSM.PageOccupancy,54784,1
12,VSM.FinalizePages,2048,1
12,VSM.DynamicRaster,11008,1
12,VSM.LayoutRemap,2048,1
12,VSM.InvalidateStatic,2048,1
12,VSM.StaticCasterCull,132096,1
12,VSM.DynamicCasterCull,0,1
12,VSM.PageCull,113664,1
12,VSM.StaticRasterClear,0,1
12,VSM.StaticRasterDraw,4355840,1
12,VSM.DynamicRasterClear,11008,1
12,VSM.DynamicRasterDraw,0,1
12,VSM.StaticRaster,4356096,1
12,VSM.UnityCompatibilityRaster,0,0
12,VSM.Resolve,4001792,1
12,VSM.ResolveTrace,3868672,1
12,VSM.FilterHorizontal,61440,1
12,VSM.FilterVertical,0,0
12,VSM.FilterTemporalVertical,71168,1
12,VSM.ResetFeedback,2048,1
13,VSM.MarkReceiverPages,557312,1
13,VSM.Allocate,2118656,1
13,VSM.ClearPhysicalPages,268288,1
13,VSM.PageOccupancy,54528,1
13,VSM.FinalizePages,2048,1
13,VSM.DynamicRaster,12544,1
13,VSM.LayoutRemap,2304,1
13,VSM.InvalidateStatic,2048,1
13,VSM.StaticCasterCull,133632,1
13,VSM.DynamicCasterCull,0,1
13,VSM.PageCull,115456,1
13,VSM.StaticRasterClear,0,1
13,VSM.StaticRasterDraw,4383488,1
13,VSM.DynamicRasterClear,12544,1
13,VSM.DynamicRasterDraw,0,1
13,VSM.StaticRaster,4383744,1
13,VSM.UnityCompatibilityRaster,0,0
13,VSM.Resolve,3996416,1
13,VSM.ResolveTrace,3863296,1
13,VSM.FilterHorizontal,61696,1
13,VSM.FilterVertical,0,0
13,VSM.FilterTemporalVertical,70912,1
13,VSM.ResetFeedback,2048,1
14,VSM.MarkReceiverPages,876288,1
14,VSM.Allocate,2123520,1
14,VSM.ClearPhysicalPages,268288,1
14,VSM.PageOccupancy,58368,1
14,VSM.FinalizePages,2048,1
14,VSM.DynamicRaster,11520,1
14,VSM.LayoutRemap,2304,1
14,VSM.InvalidateStatic,2304,1
14,VSM.StaticCasterCull,126208,1
14,VSM.DynamicCasterCull,0,1
14,VSM.PageCull,107264,1
14,VSM.StaticRasterClear,0,1
